,6dGul,All,AllNAc,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,Gal4Me,Gal6Me,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Galf,Glc,GlcA,GlcA6S,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,Man6P,ManNAc,ManNAc3S,ManNAc6S,Neu,Neu5Ac,Neu5Ac4Ac,Neu5Ac9Ac,Neu5Gc,Tal,Tyv,Xyl,Xylf
0,-915.8457807762393034437298225,-171.4458995233906411457349136,-8.208543412724718458124709586,-2.629771643317561241569823510,-267.0442860390622959016523927,-887.5349187455365931193887712,-136.9975115434706796230205278,-91.82055263252853664002728189,-529.3110323479317596777480894,-313.0847576005824160898035628,-348.4838480709083412765922851,-252.0988350538037718541808036,-96.55940589898542480115833382,-255.3893674502619664365897177,-299.8571945573103874123617738,-252.9180579126242706419141861,-29.43313134120001896721144805,-113.1780164302994687001471400,-132.5949055868106413467257548,-135.2944706019782242823417913,-1.707483837453522585692640510,-87.13120890608913631421036945,-387.3322903541206338721546420,-24.39395023202653893930177402,-2.629803982656522552880830210,-2.629781830951648603619441410,-1.805582375032588014144471548,-121.7116961891485296069401339,-0.826116843769989686473993550,-105.6087874473145312212735564,-55.75285558152808087440012392,-134.6113225980016304598410314,-26.10049480281401053530869181,-134.3657403301160149441737831,-135.9298631001391288206682241,-43.41002803215858986833968820,-131.9866800490404950072141420,-137.8019461563771545933863850,-205.8869579908415745082694308,-208.0330791678658766452974867
1,-937.1668581636982727507276594,-5.253298135482154313601603580,-38.64276698767578015901792025,-96.41008313822571912675534266,-144.8378805129307314488461812,-175.3261992029036506835398775,-62.84173736202466600714484723,-4.989950738379315359938276164,-477.2955349719272357657647356,-226.2440019127501027225400333,-889.7692681337500449812354281,-170.5640952565524152504812937,-59.98543875995380649018658001,-175.5917011821525723783097404,-208.5063423178707863271114366,-172.8252854363570142262983067,-26.09593570517187660125949644,-1.724851231077938208060024060,-79.60290101590594519165931801,-82.49484706608359647596485516,-0.297034252438766706718291272,-3.082469941380429087617549870,-301.0605142725089184641766100,-80.49616886778343007619016581,-592.1424696338899296115701626,-89.40543421752356607687015606,-20.18871292554586282309615380,-25.30862866650730563016861364,-4.158317212313338619924486175,-60.87547358973789330206892566,-5.246500879347187386724895220,-82.16981663057951313742214012,-48.61018934740516061493181626,-82.45601259475183872743650158,-84.89064146724258402530450178,-83.41169888064359393194788827,-86.95497690881601157511529746,-93.18477329433822881212600456,-584.2110031347892999046636026,-586.0469499129708149324532382
2,-6.981845569489649844000000000,-798.8812978197304014121519615,-735.9813923354337346604185384,-72.82605516840052261662651190,-1231.227676770770549530151413,-1.953538407161512037044800244,-0.162145777080513132663046483,-52.90033002127685549850548518,-37.53285487229801391486147862,-111.9700146267251764239726982,-383.5615832914703794015723526,-102.9501112498626444334128909,-108.9069957012365356636352640,-97.33743693198098165023673942,-99.21423223189560775032333122,-96.60263085640765116022374632,-564.3311919569389808319101743,-125.0545425775608292951751981,-67.39224913405864721757542218,-71.71132442589645463414907128,-75.48658494385810287545934940,-614.8853953276073032276253544,-235.4679787096808525763876885,-65.91092034100496303049360666,-5.204458478057585541674119072,-6.508568422378232797248920205,-310.3445358665421962492873102,-552.1937527422418256548029891,-86.55143141862944801621363806,-718.6372055520594903825619655,-636.2408142607762634056634658,-70.67768572283356029365545462,-62.81351089037057417754978642,-71.61611944069597274737815344,-72.75435048770414475812496422,-63.24887822042788578008749536,-63.49016165707370455661092128,-71.58490598934010817339027232,-1662.384882497457820115097317,-1649.981773816475396941358328
3,-1495.245544036418831864323964,-71.91123884066854529068446226,-4.298929874056833451846376612,-63.75362424610449694481978683,-459.6443015460244523291393446,-157.9088482244672905470146350,-60.25920082595771679083906093,-5.749922645087876441912858823,-461.0237905150619632229189359,-294.0923995149265073696331544,-984.5604510972056266390920231,-179.9872496802394058415589975,-7.557045133568609500123699700,-185.0111251062472031512073744,-283.4996822663991195259249876,-184.9299827027919722116967272,-32.99294888377363597377917815,-30.33255489004005778649503636,-62.34957576674599189919765071,-67.40946992909302728873069048,-0.051081727631765608209941488,-5.399954240823807412812187268,-437.5626727023056769451995060,-61.85060400029112510224031479,-485.0127976153530517183508093,-63.50797897207955581380441511,-6.620658791259458244349334498,-27.47030894759758961495677778,-3.700903149398719092249060998,-7.557025505429545964146718227,-6.544860211648709509071188398,-65.34425318780528583587505870,-59.99430356619080137192767305,-66.34709367631553227885381744,-64.44963697473242259323021800,-61.18065001424373197516134606,-65.04063218582449970121603274,-65.70134527272542893987985107,-931.2886357919896039300279158,-925.3891170561002504673113539
4,-623.5852246119839164734605600,-615.6457258154728657644057685,-160.9143994395218514479224953,-297.8323223146496464179939069,-735.0148103236546520469479381,-401.6381748011245935937380614,-238.0547481877266246565864924,-134.4355764160335814897483394,-692.5224075625173496649193737,-415.7971676754755519598952034,-1232.024005666774694028073024,-303.0998885694823895269793187,-323.0184070263073984790630600,-308.2460332281640048190883805,-406.6279170596901276172125145,-308.6158968867235021887221634,-150.3602697228875771243250040,-147.6205064207356781642239730,-292.8467234162469525745778888,-297.4796426177674101352681642,-1.1672714420952E-14,-138.4274807087871567211865102,-539.8531918928951718201164821,-291.8994303884645318266827477,-604.1248502750206753133456817,-298.3597448808337395010776708,-146.0813431535708103165962737,-146.6007649422057007470221870,-159.7130928045978990801997031,-469.6715057465889118376997357,-220.1334895818140548116287493,-297.6638868141726258277680943,-290.0725105392304932695137138,-296.5004829174828028139564123,-295.7837477399785827184064064,-295.3312974372581031785672715,-295.2256727480704772798203942,-301.5571958747020674388471634,-1045.255123300504655091019748,-1043.576975719405156863756476
5,-550.9851834936645378366253009,-617.4711635772447356892078355,-890.7670428652859799997393110,-387.7915922249889668972685436,-377.1219569090763404779750126,-78.71723308662962454066545300,-75.73267253717353414066040854,-70.00620006502696749253451177,-462.7606854738027670078812095,-104.1736999414081314101928960,-282.6372343234300559423060722,-97.32957586539239833064867718,-44.40344393873076280029676854,-90.19638736301937401787407238,-93.80636328721836533196487321,-90.97894167927780778036301508,-415.1177314351683174358025200,-119.2304535689250407569898433,-405.6360122881785057501785611,-405.3547570841336448288497715,-2.26141328408E-15,-410.5036489548063930184498929,-220.0721953787770507929751266,-387.5208262433075557507254720,-479.2265259463569232668119827,-308.1112523964396429298580589,-113.8878139003494322190811314,-409.4647482338124988689213060,-430.0892260824541021511753604,-861.0777354335367833911680036,-453.9345214628787592138423639,-403.9001478208573461791053437,-87.64183674356007589492019333,-402.7928745618873221913589944,-404.8679916088777380497078814,-89.45979424621204274673803863,-236.3852606245743270696164090,-381.7253809002234028144755567,-1789.828497686663060819907106,-1753.734439415602332706344261
6,-194.3413847880131605206784197,-625.9785180653230332785601983,-52.33833277574584330850906149,-422.8351558905812052013304776,-140.8506384022159090105629137,-163.5219267237452441715653230,-150.7321602825698846286123265,-58.79862188424984616928793066,-924.8782160139070975849340152,-142.1160480746399162955896675,-219.3217229563315381810734393,-135.3610402595750225371103794,-31.36615762054557827505512682,-129.4879321882244494101514773,-131.7742055814567057546436024,-128.6635211745039839403485009,-65.97617281467279239836149770,-159.7515171344088163687141805,-515.2232091830474340368108306,-515.1721799703161715075083200,-2.464536777710E-14,-355.5896772370085854866954343,-260.8796646303473812167137765,-342.1290802050280710746047068,-170.7084515096449790514904675,-170.3912819579865911975831784,-52.96195922513597384157899056,-306.4185601927508957878457275,-44.84850164481833647368589051,-1059.493699656913888955483821,-350.1686030867605758576557405,-514.6508953651467481211294880,-301.9941062632350819712021983,-517.5141183258397769109727557,-518.5433394042556410276656707,-356.8854756895854352131736016,-279.1796039210820205900802033,-447.1053925533783833224959207,-309.7231560659216156132630692,-311.6763732292023467069781140
7,-5.670102974638925249000000000,-744.5100610386894925045561613,-566.8511378728007708445785854,-320.8286212257791546207852622,-474.2440799629773944341746036,-2.981511463628133776834907434,-1.530888601404578749092612694,-97.31058383040511309839628238,-364.7072124392056151552975691,-103.0058749583136964034344003,-291.5247789090981601755063753,-95.07748475025390273262468738,-68.32467269796653888571428581,-89.66005950352282012816330747,-93.21115029050790514712314849,-91.13886656728732448022439650,-511.8726102244650991181827175,-122.8765831981025930810742573,-327.1525478781987681135065451,-330.2525006484014084380776233,-0.336592687340845271263690500,-505.4470708815158289870878781,-221.5256012829305714027943360,-305.7996539980380466437478279,-4.239181722067170999935230494,-7.042474563698202747663439780,-152.2445247381786312858196700,-503.8491661669107472416664114,-510.1737976503576523779933488,-969.5643718313911464868608715,-515.5749896230268350939471380,-332.2515304199500920603269750,-283.6517472099490519230333556,-332.1042545948698715467755143,-332.1379447741472688037845177,-291.2438329888236870851153851,-238.1286562046677718950248901,-319.8134969102350219949682070,-1548.177893524648285976081833,-1540.392860344802411716746460
8,-1237.063863069948041611761981,-152.2153402919949963403929443,-41.78139675433565307442817902,-78.81668217597764318288518778,-519.4908219841865245642607157,-167.6173314954123907865672928,-70.92564493189703468798944138,-32.54942260011893301166233413,-468.9092293613348502399675400,-302.5165687233896988285570173,-913.0902851080728267794596190,-204.3143973336890297143166794,-34.75254291733775319361427835,-210.1736202272342068205652275,-294.2954800358629691437314366,-205.9171725164506001312922104,-72.77197889962590247047145883,-62.45221882384892779078915134,-76.38375321570528047549296421,-79.44449580412421996278535170,-0.075309077601708286067345445,-5.72984055707168211789854392,-435.0860736630464391137213383,-73.44812541101004402003754764,-463.2209667645702722144952129,-75.31446423188320678411626597,-40.19503514211537413487273212,-62.22660975736991991585707153,-2.70668903187170444163664146,-44.78768390613656899415435665,-5.97632137520299421690810690,-81.06552003385632424015172194,-73.72250162858819457180004532,-79.26291419734851385516082339,-79.69290103189464798091878080,-74.89694239888947962356183057,-78.35894240943816771544028209,-88.90503586893369188562886317,-925.7194773744650593849979273,-921.1198023984523588996449850
9,-1144.928244057163220839167008,-118.9529875420998102528330500,-6.324836710549326291701188542,-578.1144889277854114735990268,-95.6571061496748900280427054,-653.9288287291007145490458665,-301.0815891147028328767213653,-87.73536639383332699612454582,-1410.632779807225700761988319,-271.7840610266610275771988487,-1369.109737933353778351118843,-250.0021442779392709880287146,-269.9035675119376317415665418,-249.9177519067564864297735701,-253.4132167784919337792148899,-249.4590422513991023003307848,-6.48376538185063888311370374,-10.20863094533785967042229378,-486.8553089400993109440012424,-493.5656747501060448265693302,-5.583583780168360723147037083,-104.2087549682232284491646958,-353.1929844059013724424026605,-452.5874827969331646312129843,-804.0390844952623346941799502,-518.8760608905042588631536117,-0.02444468170117215651513437,-7.01704501478916110137273551,-15.63264376596045908305178363,-358.1651255735511036367537648,-264.7335159895373457626238582,-497.8889043204804446687879023,-322.6797668873158533242057719,-510.0148329705425736987068134,-532.5385777904354730327218408,-451.7772778702485932632430236,-316.5600930663689369525182589,-901.2625199532901701386675703,-4.49131636838188697044438932,-5.312296920451720328774398170
