,AllNAc,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,Gal6Me,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Galf,Glc,GlcA,GlcA6S,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc3S,ManNAc6S,Neu5Ac,Neu5Ac4Ac,Neu5Ac9Ac,Neu5Gc,Tal,Tyv,Xyl,Xylf
0,-2949.654430901580438928970929,-1.160420286539190228444910125,-2791.743323739129790747710440,-40.84830385931405760160138186,-30.46466695190315192523603880,-86.33077314041719608148295454,-19317.45967564946721138714290,-711.0634681286128336160413251,-660.8673640193514400447148133,-31.76202942369955068048274370,-677.0009202381266148973908432,-697.1721501352979590086515687,-680.5051098566821817123649939,-2554.097151612419166639710948,-2481.444738548356142392645718,-977.3760260341199095047650735,-984.4513779332088212349789980,-25.48412577797526376941510518,-3663.492969161560988533964971,-1714.335680074061995600980683,-253.5433995024715921842273911,-1.070594542353562642985409668,-1.067576227115737271413792067,-908.9091188090388983252015124,-828.7014234594681053283829607,-5914.083543655710589124985903,-1965.781068762309956935191032,-236.8878368673408056278862446,-980.2675894708768668550448428,-980.5167449547238388185915702,-312.9955249165684604452202355,-944.5974083290091982603781436,-969.8215048771600838984541039,-7780.796033432245262659091856,-7808.512440535389338118322609
1,-111.6790086963795497699626167,-2960.945359620191076138860250,-143.9450876602520228530009506,-503.6409400859795104164297707,-386.3236267057193726936949189,-274.4840929017989797592789069,-14106.47110614252268125871894,-402.4673335877298818271446002,-360.8272400837142429177417798,-263.8735729774290906733823685,-368.3955190623057434981267079,-390.0989896660631753148752836,-375.7902077981551853741119437,-698.3576580853896852420630955,-715.1526157226877967901397863,-1260.425462649202980815591104,-1224.503095227491400087222124,-9.5534807024E-16,-963.6642015850520590081588613,-557.1246006769244031835042491,-932.6238091105813484818593237,-553.1303640103844806257095207,-550.0575951679456379203042141,-112.7747353711648376589984075,-106.4194124346623613088403162,-1632.302401906034778882495950,-922.5522659488548366819803251,-912.8322354804138946506642853,-1266.390846884291914511562384,-1487.061017725514006599807978,-910.3759437481163784155157555,-583.4107145752146382860632618,-1384.339524704422316465032388,-779.8528888790441103250053715,-759.7599339599292115523627156
2,-5.461191965715397547700000000,-2423.639359703111484793178516,-217.6736280637616237701458096,-3239.138854297002326071107126,-1126.135451313951961919156251,-199.5807468262991623306608472,-12631.90401982602588889587797,-1262.751991531609149154526716,-1076.426877698923974451979852,-853.4808264204682652878971717,-1095.119303079725082032492212,-1361.728588841166551957367762,-948.7222323930863310903714976,-132.0576923587962403344195371,-198.5629133775974163418355343,-2425.236506616571504265373001,-2381.423966336160387766735437,-7.395789172751240072995782197,-526.0549758497973536971584737,-1893.317655533690159009241759,-2141.401738779326197260894237,-3617.970064678264633603361432,-2669.347078164463595952747265,-0.007011085388974368090745490,-6.154339150359645540360240970,-962.5303063657415970782663864,-717.8105898590241683034708694,-1644.195087713148214639800700,-2464.068093735744412400943085,-3070.928967035345872761085813,-2227.713625434109687796758858,-1726.201121388133562483694801,-3710.236453090509198717396577,-67.34595266713305479885275861,-70.59071612386745929397591605
3,-731.6204098073145122746423083,-2666.840129890891461246456797,-3530.115531099744218228281252,-1246.595778597602937382311482,-693.5544194740213219039249894,-597.1558721508337107270699520,-13496.14784648621402011903568,-668.4906162595581761469580496,-626.3363208722168471751955879,-668.7411256792820462875976421,-636.2926687445449456459480242,-658.2992913354151194199600354,-640.1859598583868178287244731,-713.5286859129982743309616078,-751.5505828807185426519744233,-1453.678421686610812035249909,-1412.768514310665492074059618,2.2642662464226E-14,-2493.629429432975208297445491,-823.4739976288852587301265596,-1177.415621104017435460830888,-1553.960085749021461735612687,-1507.536378944263699360939554,-721.6691694516849298542730526,-824.9849902544426688488990052,-3407.482441996618947356846230,-1394.809633471243874103991991,-1151.200890835719471042265199,-1450.814037163481916622132068,-1664.384006625370269989065753,-1142.693887486933525811758646,-761.4614799158861357915577812,-2662.594338635666394772757367,-4720.734756490126682603748047,-4347.547166291947260703497078
4,-1844.914774029840775327476070,-74.13818235120737363470000000,-1849.650718953271680053401075,-5.09905762463983840625048610,-2.71777845560789801960990980,-0.163190638950951398102124571,-12282.19096572398910586349890,-4.50878664522590355764397192,-5.975123714019389717577959188,-3.15345094884477886353227940,-5.68744164156757133444443846,-6.380588822127571371147699092,-5.12782585363218490441094138,-520.2602284228524700119544929,-308.0663928310402676158894151,-217.7855699544957812189953055,-221.5993272770795312287306353,-47.16826255543515107300247900,-498.1456101244000879329764676,-6.380588822127576058170672975,-214.6408124140149053183417613,-98.20958578364179706608667790,-91.61906657330231292380933380,-314.1223292262077644427993673,-343.8939944345262254283523574,-1072.459619542102741128604553,-987.8621593248188374649103153,-6.35428382424875858813413569,-221.5172136084301360130453878,-221.3230596078376391720877637,-7.05789773978525409417193080,-4.97859906664426568727562594,-209.4295039182155088121377081,-4540.664018250057055921466925,-4051.950722851330284659908926
5,-1.708705336632943056133814775,-275.2304970678450974344494277,-1058.557424964614447204137419,-581.6592691338786796849126627,-281.0210471749826369835528032,-38.89295023189019251525222424,-14634.93002463689064574998482,-505.1691108153571137198795621,-426.9404408502914926379428403,-3.905929567101326555413395106,-446.7547696176270988328175900,-506.5490173446253062653049507,-344.6981142475781044293939904,-60.07757963416393651345063613,-98.09333062081977508775407877,-292.9520450731581964401202201,-297.9852889233733133864357965,-0.224672651542017442677197574,-41.96259251123471032498395231,-684.2232051255015929417592393,-288.4458356239548402550861566,-2757.984584855216034976871868,-279.3813383774265803783115241,-35.36508475503852182994315537,-52.91087733261600497888451165,-36.23111132666777981771980335,-52.74868718632626657033142705,-285.3888133663588676341724513,-297.3738139912271903060124809,-297.5138942906197242111025403,-289.5521477588339809423407900,-287.8474235638182329676526608,-287.6135415890519994696462170,-3812.098405666545816886783484,-3399.290400287426338163443936
6,-407.6897148382168108344841848,-2959.557749568881564079334356,-4.919198627597722507966245185,-1353.271318829618243003997712,-600.6808210575755645601294699,-95.80806027047863962095784256,-11181.99428809889832132317537,-808.7403949166603286370146330,-633.0108295281728240388584201,-562.9197847104071447007763186,-647.9807911760826964601251644,-938.8443206880266862839390099,-496.9020218068848969635791564,-6.017810916265892854680026049,-69.77425677849069402369232200,-1504.098723789209992993360306,-1462.110990569509796483357423,-30.64072260483947384941897836,-718.5181243894298252187723367,-1319.652023117342425070596156,-1474.157856916221820039129087,-3990.658421492266468878189564,-2253.670699595003973429304785,-0.009787720546230309241284375,-315.7591746990894025710894078,-888.1489824182629378582396708,-919.5468921014690899570213083,-1076.569843478113459964457695,-1546.773618346680223921213816,-2154.985184047758610557942951,-1385.901106756960268781234949,-1129.657796111097511240455552,-1426.011590109267978987269235,-39.81178189756829502570646536,-24.63730511394067993121836676
7,-685.6600871798594391100000000,-1409.587745096985086339653576,-371.9057265982026883488879151,-626.0902414000552629656617059,-2.409949093057642224630250904,-0.962447186608869508907797259,-11170.75427008511941958091222,-670.2871337434940098379214138,-462.8640346449568385619010313,-37.59756228870251638343433295,-510.2723740482157714122464172,-792.6351741124719475230347662,-360.6192115338467698207618685,-50.09739401937338329373812050,-64.42390555557849884199191270,-911.9627117303146484391198124,-856.9788669432839739008837132,-45.76254500060381301976606607,-74.63566548856592029356092054,-1120.571510599528415894719637,-858.8772475403751057720071522,-1634.890790774285796668763739,-1365.666880004242369855121589,-0.847509104308245490005386667,-2.30516635309631985654570828,-62.41719669164535892031719684,-91.4828214598677944285003231,-454.2669872092367766861851391,-922.9669816353460073419117085,-1301.392538644269386173273369,-680.2650534760112546725184070,-798.7650644942943040832749718,-1410.685725115482632218260300,-910.0538335583086528552266560,-548.8926907642202356986185930
8,-2397.463448979693819747640253,-6.39656046643165206590000000,-4706.114061766736348344111256,-6.62509630430941195090314862,-2.98214319963794663391188041,-2.684122190710317109554254196,-14307.42703007402458155445950,-2075.385811955680689756473675,-1898.638168411165081678806608,-3.78758052987252409092936659,-1912.873150814009991138802096,-2083.256786529610658858155133,-1717.149249118630153477982865,-2285.684117327025875341687398,-2081.940129191727156212255698,-4.093975373437499009974591494,-5.70341328587165819038905002,-4.33373193469795890010809071,-2205.240044182028794618820659,-2262.213501513228842953090203,-2.546412864721493170606210290,-2230.297281875691958394493045,-6.39656067536562347705366631,-2077.679904600678880905197995,-6.07992234869591249161481208,-2332.532020486783926194840278,-2361.144182013177559449980902,-0.573672299529206295395562532,-4.78712255399755333515057625,-5.703413285871636837242613487,-1.85343553212736275915379251,-5.76878079699800978419468021,-5.29794817776348693322218632,-5953.229280139429469980223024,-5452.456492958551672507857344
9,-21.88168735105502929892680000,-177.9134932211007414957272545,-1711.417953487237102789054467,-524.3058974380556302681839139,-167.5065900408550168445913429,-59.31948468793693558871092323,-15018.11554770045764969434802,-673.3928931433280789656901858,-497.7334284738090406139885763,-35.58438721846482472249835249,-524.9362593576883099073134163,-777.6456258765049245060356092,-368.9257037599333189036681625,-80.24019596765370441841277611,-127.5437829203191197476253183,-179.8255311707346921730568364,-182.3391758954723267668900974,-0.04499233894392440273973642,-5.47537436774300419365496012,-1110.003314350091408171834673,-177.1703689499773891863382323,-2700.477578240085636286114486,-176.6590879994147192915022849,-40.95010701467156349238925924,-3.33490770081959650586438750,-7.084812280177106291258372208,-5.69851791905722416992847398,-175.8071615557937336683764511,-180.9650367640142386745464031,-184.3908729303841731259151312,-177.2185719564408803742834624,-177.8930888408158211468985033,-176.4378774606142115193511359,-4150.134101278090627038500709,-3715.049195746906986264758824
