,AllNAc(b1-6),D-Alt(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-6),Fuc(b1-6),Gal(a1-3),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3S(b1-4),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(b1-2),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-6),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Xyl(b1-2),Xylf(b1-2)
0,-1836750.660603580561455763686,-4660912.811950311062582330806,-157034441.6751172283436565406,-189612.0292793120746182322089,-157034801.3455638415041191688,-494.6919299040434370350000000,-231.9315820879652474887704704,-155374746.1056775468561328059,-157054213.8110617452238826798,-503.0468694918190451439657411,-16.04376971003143874850402483,-4.06746488773217122179775676,-0.058847065912812815197641014,-403.3668676889278214805457411,-1478849.213666950273752536625,-3.81230298321669156810171726,-269.4688715329704784191955097,-397.8846846455469564805457410,-1360129.993024438433769066229,-351263.3407826856967367895558,-469.7302869085527886588857410,-5.597451853548012526301467224E+53,-537507.4473933158863868400315,-205650.9406224256426612570049,-576.2942812428569526364017172,-151742485.6315486574989114602,-474772.1196513508590086342516,-1326924.118581230240462629331,-537778.3128698091786774939394,-403.1601553032457454805457410,-376.8688943004534126545857411,-788.3228646221842776636646693,-157080080.8471045285835000592,-1687.102862890737200938780198,-10428.10393777256612506433361,-1132251.754639490709376513806,-386217.6281499986208077233756,-329673.8701354177890786975070,-4.0212257366216804805457411,-37939.25783980242089049464955,-287257.0320474530924451360172,-594.8357662160022908133017172,-507325.1335821890364351625672,-522.4160067535181252515259172,-388.0181070043307042631000000,-466.6559283536095891269857411,-784.3885586631280489902120971,-569.7399875302363368465017172,-468.1991053924139886567000000,-2034562.250385779564629084518,-2021490.299486412869320549842
1,-525002.7867381177221766133623,-3516116.364610516468501520378,-149898349.1474541437225668461,-63091.22872865099399804383620,-149899562.1627868392776512571,-3.051027166215892574507641194,-48328.54331850500085818881011,-148664343.1756825896418688834,-149914663.2122638658012900324,-2.357879985656004141748077904,-61.39332869383699314642059068,-99152.10276033701284900689054,-30.43758506267545767832789678,-67394.79293058020824752690290,-11094.25262345646758743761709,-5.038476507440791330047431914,-54586.24821723332931588171807,-68264.02344869101782738117191,-901264.4097192306980342466842,-326363.0445816347907897045680,-3.274170717530158058274004257,-1.236427631946908141230534514E+54,-11096.04160135352469461893673,-7236.916625133117802425882834,-2.463240501313815764735333924,-142769854.4396276790909625095,-61410.94496127568601895661339,-11665.22633711959062631841292,-161606.4318571860709764074054,-68540.07341505103864489234437,-3.274170717530157047610677674,-3.274170717530117811303733224,-149949789.6955106149751977430,-590.3272199259887531265037332,-14234.47042125059124990709654,-8811.484893083572330990212401,-11056.32750599688435576420570,-70110.16801774153733381844169,-1399176.948222739775726705981,-206320.5990155443575854470550,-22346.70694212657669235470777,-4.660465078649996468443272524,-48890.24008814131140301312854,-1.163957517183577589054931814,-3.274170717530152106039937594,-1.887876356410248378804377124,-4.660465078649997361303733254,-2.357879985656061852027145514,-3.274170717530114884900511594,-6394416.012732535075159072300,-6338655.919363350236981403686
2,-560319.0645835181127656795393,-290.4198991297252727340000000,-2267259.287018064085823073799,-1048408.656365054303603280113,-2267165.431864816778835392216,-31749.45718613820144740828853,-92322.57580635751365624089995,-2267296.149156998518926923521,-2267257.225812021026683310660,-19290.75246922749205137691436,-31294.17289825390046093179725,-1922473.433511849625720447249,-24932.48308339350884288633836,-755446.1576508483138069603246,-370614.6059527555899537526425,-95959.82838480813870777375649,-94563.70952309227556847396661,-94501.53801429531570396552793,-36822.83910627980571841418384,-36506.59231534657658824254466,-31489.42026988824073611132791,-1.174752798154318653857156011E+54,-72747.76295834299654469970131,-6442.697850334391675260468348,-31880.72330378122647136417589,-3029637.047278711993917774172,-2.657955172094510503976022174,-95489.65274377217895916347393,-425862.0010197401160411930430,-1591109.132740805372935110830,-31631.32417226977223473630047,-32058.84562425021758408884542,-2267260.146327818952356131541,-754273.4424048959313949717514,-819.0833178655808398807823583,-0.126625973579470285976022174,-3.12795880134023766397602224,-5.2906820162187779039760222,-18463989.08196190601444970510,-787058.6094373362869876474414,-355052.7832413571455041429276,-401204.4571623049663603817862,-439626.1120441096537133494658,-31378.28107254357848662871457,-31648.75755250088516845193199,-31720.47852173589493193144589,-32060.55282120818484710662786,-31821.63800123891822730936573,-31719.01180962486608284663649,-51296.26050508883053138221022,-53071.43313183423471316303017
3,-3.53883897106671434088700000,-1271147.452000760251198262038,-5541034.034153903505304317327,-4170285.389190848566089465040,-5540982.203241425668031059946,-740906.2662385940266594810818,-204494.3069015936513623683108,-5522779.709442484904314752035,-5543406.195438767958378940388,-423253.4649170499210848682789,-80882.30878241128118394829254,-238469.1633820954055727616291,-94599.20135820690356236990967,-661259.0635141093690556575764,-4.23198615162665964088700006,-204341.1294461372021055562793,-259217.7887759755662065108725,-259154.6823996168356543423705,-945098.4976132346176983898100,-107209.7869472280359183446454,-741002.8922376970750841707141,-2.071874074868492886220046666E+54,-4.31877880918164964088700008,-0.570046835434111409887000004,-588.1857149889206596408870000,-2672377.420454411567221622106,-12.49650728021406313042474009,-1.01311032675845900488700008,-4085.091467901103985223973483,-1362960.743917381096152395244,-740966.7780814702577973328996,-750689.6801942619880724960223,-5543408.290300802033630310102,-975723.1428290127342656674345,-3937.192874614882292509369401,-112.5055276384982931408870000,-4.23204061064500164088700004,-13992.08553128837999752138611,-12094144.12933094009776891512,-784957.2961292458067821281909,-3368.016996059012903177964274,-1096044.457182722867031507434,-5764.670693071802100664287550,-592241.3157094260865380717487,-740846.6768309869172851616506,-740888.6241407437124683779107,-825678.5797806634814977698366,-739475.5409784575124432106899,-740878.7800944725528304504228,-5838464.329448119133168542496,-4857407.429498429043077307613
4,-368050.2027057168980273328805,-18919.42282643560282558432436,-115764986.5720070421559371276,-1052142.693366888709330880250,-115764890.2462116416856605024,-545012.2164671905169414141133,-40355.94673765788956248376708,-115758610.9449327744013608588,-115764984.5455175686719525870,-121708.7597210911642947229768,-40575.71706254634423395497062,-195413.2806588244433001789413,-40002.85680944471278069503903,-661984.4161324909391192111199,-196071.1436037035730900795039,-40453.57922991188998865201663,-65477.55253879059990386854147,-65424.28089997186954754437434,-29701.01442172990989878052022,-11601.99979198717446053291215,-173387.8899662805998406401239,-1.131692802173898932037482714E+54,-20885.07705746877784849951370,-410.067516040459556831878000,-625474.9138653241735988586951,-116050536.9481665540804418290,-19666.60784002427918024506491,-47051.69354494196147247283748,-215220.3068191486107013248027,-1437104.167784986595810979535,-497645.2354777149389628436664,-511758.2741253948922927052830,-115764985.2018426782944129375,-39073.75012331576973129253853,-3356.746286312576504466828336,-2.15417451142760827263420355,-12.64218856197851830049589975,-0.19194908268671312142937099,-22746200.91767074040618971672,-587797.6325829193484953535682,-205279.1954292308052145748880,-1125634.557208768086221030454,-386005.1481823726747501542847,-19596.73270089363486793472018,-545255.1557948298824929984157,-545004.6934167930577009427290,-702720.6139898156551369255391,-544418.6026300950978272936183,-545273.0004880237773501802021,-2279.728429346454337858406060,-2.836185292390796150224277
5,-1547503.778844932643932361722,-2151.774441214082896947486194,-44481702.85002452458601918470,-1456013.078589342877595181246,-44481606.73343935080598667633,-1065795.256125491525541574113,-37404.33721606967432521012787,-44479127.08913452886984961709,-44481700.75759793473054691839,-617095.2503060103604958080601,-34041.74476143572053593605711,-1681166.463770920519973943422,-37430.05278543249008774324455,-526816.7051920982316781153686,-1400443.729451379576536375690,-37252.14616979221858806361781,-52589.83446964523049055904914,-52529.14499719744130099207472,-2.53856266212436876500000000,-2.02773703835839237241819532,-936520.2412097078264790216368,-6.170986274486237391635707576E+53,-332.9577076269068589076545242,-679.7943054855991847795977193,-1302222.059571684201349945478,-44021301.23929577326986876405,-699.4722477091351002911645069,-62410.10469387485353347664246,-1263947.700669675945078684799,-636711.9807886512847446079197,-1066242.402117775012405786214,-1076127.668384318616928041335,-44481702.04879606175518433273,-1327184.817115659414125686061,-0.28643420670421139523958898,-3.25838065038807498876659593,-2946.471646505048950242258998,-145.4386564657305342132758421,-19373392.39754402777014285196,-509023.5426891308038076447792,-1089988.256557159846415633916,-2973834.209031548100445538759,-1581615.888251600219342520461,-887031.4804946373744378859174,-1065807.158963499721545746729,-1065801.159921894402456236592,-1319449.073003958302371720054,-1057927.203040125761920781484,-1065757.785375043731252010019,-1021511.841074689404596190263,-919107.1939611816882429451607
6,-1487409.154306601180405414310,-2.63293275034486660000000000,-51177017.50273463113397961323,-1400574.367175314633190059837,-51176920.97232736182003866561,-577202.3287534987384461658468,-37324.78231292968847600948187,-51176043.83658104021316089542,-51177016.07605877003777704738,-321594.4287209436957034654606,-34005.55695222832059205646570,-1373688.582041593053513569100,-37333.96685457389968452740980,-533841.5462042947006190132531,-1158640.067861121348735505951,-37187.72842780028834953699548,-52059.59559139422677301591801,-51998.31903192854005479160765,-21319.34443367629986288605781,-431.5713474314295541026284237,-232686.1361119093377124978762,-2.966945891674597295364753946E+54,-269.3397673746475552248043930,-613.7632400791179833641760823,-659628.2858206227652628457891,-50424302.98985420116154620049,-647.3846418481581052952992754,-61893.37439157721365523414304,-1153719.532090266883325946018,-646359.3978070457226547885883,-537968.8148308504807308155712,-551349.5911877395637017556374,-51177016.53041162516667985343,-1911790.704045141831766827850,-1.13417049770894596002540803,-243.9750242496098457576455814,-2884.452469121666468729370287,-0.50014327725054135296834692,-19309047.55160862254102445806,-492533.8546981123183184753779,-1073520.552179167647535742966,-2101107.291652369366266622647,-1891988.731690377358312845279,-197134.9411982098597856684576,-577449.0540989473002121717930,-577195.3091501303168607735722,-737752.6515576184089187164750,-576031.4079970327595094239273,-577461.7712298764266813707643,-187626.6071465627447443699710,-81710.83913201283104085145799
7,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,0.0,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53,-2.116490676734469994678239760E+53
8,-2041881.734126800368156116380,-36268727.47500250115902416819,-495417608.8784565672160881581,-1391816.316424284143021826812,-495417565.2498355125158420213,-394931.2500265862214807652127,-842251.1975187234780245292087,-495000344.9906431288272123623,-495426688.9192429584225696932,-387100.5780668344794953727131,-48701.29370698599816158324492,-1141116.850733937964969880025,-45.95791372127348000000000000,-482086.2688710827769276408639,-1586648.759793450622393707051,-339311.0052343554839875513837,-1051963.044354367640018549121,-1051897.545393563025676102736,-3582857.124831831139199316245,-642248.7164164877705860108015,-387730.8658859002921180228580,-1.950663387703639203394171512E+54,-1367323.756208436555573096821,-1367639.897930689788054107876,-273884.9646274046208836741385,-505208195.5323712576769751243,-1367746.071464240921459036258,-1585563.076844657410866584636,-1373039.360495480585981302514,-2376998.904485502419600667308,-394911.3770070612990099246461,-399868.5784017207584036313499,-495432000.9348542962056854035,-31157381.05534073298911553236,-563678.4298160702897797338255,-1550537.371050498905013605365,-1573667.135164929129990644403,-1433188.751073958580804312727,-5919365.085323337865345665162,-4.79505181364E-15,-1373186.025073279112484606715,-454366.6249873027286636766145,-33297534.40214890897421254474,-385938.1801027276249260935411,-395007.9384542103722447783310,-394936.0111622369594043295343,-406238.7255907520587169285843,-394986.4942771613537134503387,-394918.4285921965797776785988,-18051523.69654287013236373862,-17747104.74113127074720252204
9,-239727.4162968928069719891363,-89736.16720098910588458203444,-108748693.8126960980126691878,-932096.1725699791015988959914,-108748597.7992995047705429713,-235907.8767600426422546364036,-40498.12770281932424887216653,-108739453.1354933155899932836,-108748691.2600270263083216689,-205730.4321309326527705828847,-19407.32997243335901871456983,-51413.46351191165256671045118,-14679.35331995573997840101677,-685957.9913707249450514444013,-55918.58315274631910405910971,-40487.26194227836551707225489,-70049.77095716209877173621641,-69993.38756314260134738100156,-74816.93250871388952377298757,-18540.78069795654184505723307,-162459.3863834156482013253432,-2.046709873834874508354525972E+54,-20828.65453410643420439423059,-4211.795864905878607496197940,-225618.5671357224782563004926,-109832200.0025710992617242807,-27380.76406778231323331991251,-16348.06757343657329345992430,-71773.18149531012737405252923,-1811646.754107689741236013464,-222265.4992651485137820606112,-232429.4754111929432883452532,-108748693.0043327804847809433,-4.59424954077126270000000000,-3639.458917013172508199746392,-3882.768678100248935516363513,-2.98481176077137001682558369,-0.062576524864170800709684496,-9591668.590462492009653079723,-657493.2159147961611766488895,-61291.69282955226755523102288,-462569.9649993830444202083431,-2885195.015372766946795784499,-1518.730391193306324876118509,-236007.7366232697702739608245,-235897.5896815316547390847823,-326492.6567170497037452522821,-236002.6644617024322614380773,-236039.4911315919024670089767,-632.5337423946600185383850834,-2460.476625459241336231100612
