,AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Fuc(a1-2),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-3/6),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),Gal6Me(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Galf(a1-2),Glc(a1-2),Glc(a1-3),Glc(b1-2),Glc(b1-3),GlcA(a1-3),GlcA(b1-3),GlcA6S(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(a1-P-6),GlcNAc(b1-2),GlcNAc(b1-2/4),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-3),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),L-6dTal(a1-6),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-4),Man(a1-6),Man(b1-2),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc(b1-4),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac4Ac(a2-3),Neu5Ac4Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(a1-4),Tal(b1-3),Tal(b1-4),Tyv(b1-3),Xyl(b1-2),Xylf(b1-2)
0,-19.16707683545199507931626618,-5150.841340477822649061315164,-5135.529820831568452818749789,-5.741580625958004397217547094,-202.6312409686244596089859830,-89.63563074827984682386528312,-11707.06011491488336303721741,-12135.04391870350977638893929,-11117.79315797136004804752702,-35973.34678518603071920176345,-4363.795886751166677759688869,-2877.576776018924825822284848,-39450.79984516404868577646414,-11149.68462440165285426241845,-2768.879728838764567380836047,-39433.44169399676613039465839,-970.1688163325320031324638946,-346.6727789744079233234754902,-3227.238109344429127622158168,-504.4496667454069743848108157,-3836.605317404314245546131097,-566.6160475712200667539255339,-212.9229012555125993711453980,-964.3153505510693083412262727,-2127.347402785739041618605583,-1796.076155941409104388295329,-3372.713250456344376850771176,-773.6804291245636062524088442,-1698.801005369289388145310220,-3198.668734556885992798995202,-3192.833768323353868024470171,-2769.739026589048156357936597,-441.9880424931181740102662337,-968.8658723270191754440442789,-622.1194963601730669209236363,-970.3872679620483380266003582,-1083.360404651598498108730259,-4894.633836653056676665852444,-3838.310968386258362990149019,-3805.765497505592074092127565,-19407908712607.55558644562253,-196.2250540348608711251680310,-5149.996675726397876916569544,-976.5019485302838965043696868,-209.6610785140741828787146591,-488.4638430463774867111859830,-731.0755471777769676924384302,-41387.19693837578813654921519,-19.64855250750205756833217952,-921.4627891882764322945537884,-1026.341217291857724619613015,-4747.638625051226136542527489,-328.5528983766475547608673841,-4365.377457642015110280292366,-74.57847621219133899993626624,-39421.62274707200005150035480,-4892.602445045398845909388951,-5.741580626030488833628500694,-39579.66036757138082390051679,-165.9083976077602897508162681,-0.017221689718440987695525272,-4.541739904337041367216266244,-133.6181668332069605684179980,-19.82134411537499566373798892,-427.3596695971411511357750360,-7135.445496575056602641683528,-3295.147094845378900538464620,-52.59253178823704000987841120,-5534.237274134411146897958607,-23.90699315806440062169218169,-1061.858224415036091622126705,-660.5798302703275487304476469,-180.7589118138518611719044485,-4365.718115105567144074627361,-4360.503333562012336718717905,-4896.587248338223806201770061,-4895.460658121820878821770061,-4895.414647030782620005312311,-4895.818636926236629496943871,-380.3821672180708077845891650,-4366.278079579531300684521471,-4894.179704153521798236667561,-4894.081772519383265878791794,-4783.747783712652094591026879,-4872.967242214727618921992823,-3076.083258997706947982958839,-3073.120292022234022416293883
1,-6.373360799463159452824743147,-5.120597830967842295928816987,-1016.677142307377340017823773,-149.7165936248270557984071631,-7713.485555664745331194392998,-3053.622265299029019414728727,-778.3223047236878574659288169,-6660.491842944252452772469858,-7205.136748774037777916598124,-11856.23761684472649861376328,-785.6540704076987506373216847,-2467.562276429179801723025482,-12099.49952838877429500798821,-6602.969631737999414818388842,-2388.516892052206597324933565,-12079.87560629313010125220114,-2303.411191406223359826125744,-117.4718412915087058054078776,-798.2595808141895719678133413,-350.2589651138518740721837726,-3549.427863778804080706576432,-445.9088892879459736498931662,-21539.07088520905774994837322,-2525.383127806049812337964463,-1576.629922209153210695737163,-1238.270274774376748316292533,-5.680213618903238160933408307,-7.066507980023196175022618307,-1042.437207880351881613921961,-2341.771755839955280486042075,-2343.175130344524109237747385,-2341.782567398514082092027698,-18.32486129911382405436396344,-2867.653659781423620118865079,-3408.678151969619058835063335,-5079.838611681018525405583244,-14268.16004505216647312434425,-801.1832516701338905218396070,-798.4812268584758135650226183,-798.8167713775946352162498913,-17644819035093.90632122522959,-5.274748510795073803405725047,-7.066507980023187175022618287,-809.6089939212542799454471011,-0.477581502489615105729549571,-5.457070067589059539617406107,-6.349618708831921578691287106,-12073.77042101337500666993860,-1.733789188744116921860556046,-2.010262174674829019261805337,-5.457070067589042993552901587,-2344.625135759142855135586294,-370.5148915688862580487486246,-794.3368444088177944426139432,-212.8074164751240278531801491,-12068.37770047583166320089821,-800.4541723297262728427549887,-145.9630021579487393210038216,-12099.63165880960516460395567,-43.39267197942473801723803105,-41.60591561490051079260112825,-27.55144374961228246789337717,-7.066507980023178970798357535,-106.3793574198156970377269772,-7.066508252828999890583531077,-5760.414241217190218109428057,-2345.108943372695229643948254,-3.352935913318834580097581227,-799.8994651428108320077618059,-13420.13565768703063085601281,-7.066507980023117823552901547,-5.680213618903284232155631187,-237.7910057564834169420378669,-796.3509740509927027910622473,-790.7150404875306521542989887,-800.1005637486837617325319641,-799.4144082699737962425319641,-801.2235672160773528792859476,-800.4675183735861848427549887,-404.2757369462949078500129669,-796.5890142276340799380622473,-801.4728469428455453427549887,-798.7727302335380945147230662,-2391.622939700916847659640963,-776.3453922649463108817416411,-11766.87004245832566945118965,-9868.225255159661992704448973
2,-11297.51132414039692660465632,-13311.91949915160595362056831,-1719.132173783599819117735669,-10969.66843410297070913496182,-15896.66933817997604123792824,-8399.687800218333013799397321,-6584.702275021408137910506239,-23.66435075302434559140000000,-2.779276723187196977078150995,-6.21326330271557588410815099,-1391.924794499167275924248501,-3.32291914038724326060815100,-6.21326330271557588410815100,-3422.369216581919639942826316,-0.87092918896298327133715100,-6.213263302715575884108151003,-1585.537098715728674680192073,-124.0506331835425942225272678,-811.0551074410848764302251289,-810.7150182016230687154592306,-2579.944593468430814304269474,-530.9646994755551169308706685,-55030.85813131067800872838105,-4740.547298189931727820172257,-776.0347115303382785823354000,-778.0235565297085852910695069,-16241.07900998839240144519621,-4487.555977876796149553791236,-798.7907498448805293913417851,-781.1568510564346618609164779,-780.6606986122280884150124363,-779.5290110334556941950124363,-2507.666249549972052760892842,-5522.221030574003798608440283,-4427.148492677663911596532000,-15344.50069705811517292687106,-47127.22087252927745519462276,-1405.976626170941800496674258,-1403.666051467130187432572503,-1403.742887261575878195298918,-27841682165154.28559465849704,-2559.538224811340881495134126,-13304.71867847075666051650749,-1571.409515130851756821144851,-2619.780026321282242113369914,-2556.777725710424305583554743,-1509.568760950883698881154454,-6.21326330271557588410815100,-0.752280471614185222756441046,-3079.075797982811161523998880,-2709.308289382796252214223169,-777.6845064337517692080530235,-1387.857782766774718349788751,-1398.932487040628082771300985,-11302.50433443319643868072785,-6.21326330271557588410815100,-1403.072435583392146956442030,-8234.570997897667328342203156,-6.21326330271557588410815100,-1604.684377019615316550970543,-1649.969616814902735033735786,-4132.882154165529599730265133,-4278.682812409598889979424391,-1667.204270001128230004848800,-2489.824347783450715583227753,-5772.782522449202491082402892,-859.9460871134861951655388350,-2588.798746780765931463210565,-1618.837097226855447840656102,-26985.03288099357167972764592,-2685.734528313010271506577232,-2584.479596680703483488874797,-1387.663810326972802495008302,-1398.611676395682495404926621,-1382.865362465536966798291995,-1403.881235979585980212281152,-1402.919684900260383252281152,-1404.692135893079755135979650,-1404.540121318128533335414608,-1389.240968834366369644353769,-1397.441615411035038538304277,-1404.041809598077132153110921,-1404.329665536312603696525063,-832.8116896911160226190722685,-1371.774433113342928057661569,-14173.81859742617618303384593,-14172.32408232539129106596275
3,-150.0770908640567320337144100,-6541.800662302987871228525374,-5269.435610102320498131194197,-13633.26876649155469746210969,-1248.230510672764451905519376,-142.0644642605184321204267211,-16356.67114430247841978578301,-8032.970293448895629551816056,-6769.779345910566541884577338,-60558.94014390548864671936736,-1883.796131454422133963077525,-2906.608444604384586301928348,-60569.74755249918035103800346,-8318.352797969656913537451933,-2799.845409035215745054481331,-60548.98893275924727262807048,-1279.266495404892809477385394,-877.1963113771838372657318542,-1767.741624552378464885258955,-450.6772039892704167584926938,-4336.616221694673311551216467,-549.7270822378638917457746775,-15157.97050651212317597039220,-1290.973831913694819561526274,-2747.990197228414580225749257,-2584.243556554560932720544538,-12658.60637637418452012616108,-2431.800056712133789251646930,-2815.808980335736208635942436,-3661.911397437329861513161027,-3649.936446640349950221834884,-2823.439858274832169583671687,-1146.475814040307404722350505,-1278.263897185788623464775658,-1282.918220266396826178816859,-1272.928494760675363287514554,-1379.552635977818379328417762,-4608.016601005901697376185695,-1121.194433610187015501423798,-1071.294789754475357537742316,-51348414918428.17134544268969,-127.6796219712853027648850743,-6540.105744009516886873478785,-1294.369584754982007593368041,-143.4448842132134214941720811,-1188.031561499788551566830215,-3722.853005702151736707365899,-73443.23454157438460934806089,-6.30340281799852457837092153,-2416.022643898280722577374233,-3402.697085518903924365088404,-5254.384947414301081087059018,-2143.813929687658929571246474,-2174.312151069503465763671708,-19752.80635237248901821099411,-60538.68451282632373274026631,-4607.470809888730263230921299,-8904.233500108976357090940072,-60569.04335628075767993449384,-117.8645531709050242751371994,-90.4505809571511532612935235,-3.35962498779596684660223713,-67.20927299196370518694738104,-0.06783708317594703591448200,-1127.583320818263492402921710,-7331.140652813290551781753207,-3870.996074240369722289564846,-1233.701578903156520810940653,-8481.366250585364519899157185,-155.4230594722921011632875285,-3347.528737820115808179020113,-1468.061751614545849040246552,-511.2305303122636054086943736,-2181.365571362508140211089420,-2150.685800755246551057693456,-4610.658617856065021014616672,-4606.693601668580813604616672,-4607.904894960819300272127417,-4607.930284347849858537098960,-1885.618547155112887866011655,-2158.317782315382291001706214,-4608.332323365139184496561461,-4606.512287665904046077133682,-5293.566056547514225118721780,-5030.514177937550066631989197,-4.01015440328702206300217022,-4.52098002705301083909298392
4,-4.995684110466315023000000000,-4725.859978776093836131646847,-2486.329174099982672637238225,-11014.77246680968183032953409,-400.6931293858596420153610185,-44.92088134499805199339609772,-10984.47567997829297382114963,-9937.271081324572106885040645,-9928.862867174075388523787035,-22516.72492012953157490273185,-2222.920016438176532655388991,-2358.427237833278796610013109,-26119.28733947603127717767716,-9509.634069655182352102138957,-2272.203529305455489530213315,-26101.76922427245277889196504,-951.7996056215642205946936524,-549.3982355238134624698599263,-1872.587976122626370305681581,-658.9471565286364261613509896,-3203.436625431084316988956812,-714.5977663121443673598014854,-431.3661226514373866112716266,-970.2207995454300183448290913,-2198.160283741798688488377347,-2010.781291780287820625747174,-3620.417637596059425231834004,-489.0766775920217761655688509,-2237.941212743297249845688540,-2224.677313191815147410767020,-2225.834363898902437144323154,-2226.666635616537283979283573,-649.6900579281970666699533235,-950.0407507054102381059348644,-720.0428736833790774285979950,-946.7735769106924017939392751,-1025.922871417023122741295077,-2233.992989535080093781462422,-2227.015646095519485337742558,-2223.844170689370374589558374,-6302775123225.922263238196043,-352.0091949777253720117028714,-4721.863256302803088484720308,-969.7727546397658987808544071,-362.8888908561058909885055164,-701.6453054781911538490451259,-465.5151661375109162149486461,-26647.96889829382149584038291,-1.743164702981560521740472379,-638.4739366503042709209612271,-815.5341641720827417538283979,-2229.620387986077245123541414,-2200.899903080213291271304629,-2228.692859184255924274652644,-15742.54550533769024612649400,-26089.64243274289062225007681,-2232.108541800914699304793691,-4901.483730275076000707401133,-26258.13515624568805597490882,-197.2534093856281962407996264,-0.311369847566789194304630927,-3.013657620123731263522420497,-286.9954442922287618981606353,-3.401330319915771362389865026,-638.6701394880390576658423155,-4442.804136346125196934014497,-2523.190930572755536041358215,-710.6801500968420666599708509,-2436.475575189655992998697295,-5.688830565433131012008895327,-839.7198601659925918624406468,-733.9712244010190473166574205,-1979.538666868670596709186832,-2228.218250155648296555808691,-2223.547868531331725968085225,-2234.676259995408354891975536,-2235.372324960989772231975536,-2233.035746857658403692490536,-2233.965590506576665588908004,-2198.019772195856191817433159,-2230.588994471295596418367202,-2234.309157875328818860037588,-2231.707668994969876544205250,-2268.417824956974609206616170,-2212.892432497318690445348779,-1878.708132282913202578663678,-1877.386253154588821329721238
5,-240935798735.1521828940598107,-240935801488.4500376998658073,-240935809874.3415455373555327,-240935789500.1490281782216822,-240935803179.5787310657197657,-240935801427.3507445955412464,-240935809477.2420399188390490,-240935809805.7122940894992325,-240935809573.0387139536874010,-240936241664.8165092513899462,-240935807956.6608976339390959,-240935796728.0071562511338088,-240936241906.9281774781607779,-240935808433.1980132561033612,-240935802216.2419426057760157,-240936241889.3534508965157673,-240935801370.9262572012391883,-240935792406.7367747191696745,-240935802405.2837042959269939,-240935790950.3767263324619278,-240935807655.7523885885269578,-240935790636.1268640733540989,-240935837192.2345950919490636,-240935801120.0569682667844125,-240935800112.1291735694497644,-240935799808.4109878664024645,-240935793237.6636495574278996,-240935801179.9924916293529479,-240935791068.7263108656634549,-240935802460.0841034684099585,-240935802455.1909452512223233,-240935802226.2168062685036782,-240935798525.8182276590144868,-240935801444.7273482037278348,-240935802221.8854394168852762,-240935811110.0961320272201439,-240935829421.3518374684889141,-240935810185.7685458546827535,-240935808314.8748198401238367,-240935808280.9770971990346253,0E-26,-240935791224.2493049346160860,-240935801486.0950620858260043,-240935799845.8983409944319447,-240935790824.1970667258801692,-240935795841.1584939551706772,-240935793968.7285809847226493,-240936263218.7024098392958966,-240935795398.9981753148854608,-240935799140.0984893774481506,-240935791552.1401962186448623,-240935809327.0657872563356388,-240935789798.9678008084185573,-240935810212.5930611160770103,-240935789568.8058752223451076,-240936241877.1160534722568644,-240935811137.7798007774042266,-240935789500.9123456228876113,-240936241909.1781205679242234,-240935796321.8889085265907021,-240935795591.9496463870838950,-240935799893.2913346145756506,-240935800195.4547574055555390,-240935798558.1749809828817809,-240935798507.1275737394806158,-240935824563.8792662259731222,-240935802862.4569111872547860,-240935789546.5463300406125586,-240935812273.7681776931120075,-240935803803.0662386219053164,-240935799220.9409665365643841,-240935790750.0843407043405389,-240935789656.8276904063575403,-240935809756.6102130940422129,-240935804568.2930283087163133,-240935809727.6266465937545273,-240935809753.4951507328992424,-240935811164.5647933075756984,-240935811141.2026179639189382,-240935789839.8015106747828851,-240935808227.4646762502115144,-240935811140.7485049556804200,-240935811164.4774419913844204,-240935808023.8520337904603064,-240935819301.8735501187134178,-240935828583.9096060791312276,-240935827332.4776953938995671
6,-4492.662584412130379898784458,-6546.004300891554595078701195,-109.1223768900111635628881022,-121.2306881239438976746347593,-5151.891895139135868764856926,-3308.445437472224136380254389,-2660.165325624701190352654544,-697.4637166878287812691269339,-684.8386957718579359992576158,-19232.42594606076065726472006,-47.64703468795583939843387174,-137.6974840514726516981426536,-19242.83971674946082407925589,-127.9281225518703427728160999,-55.93675474922192503687661360,-19223.37384506499621303477568,-832.1382287820151724563918234,-42.59538009490557686169280874,-8.526351897007137115026078522,-11.81096690299622577690047148,-47.63415630947120022856008183,-1.198878902189022870332590177,-28907.40633033037281459222999,-6002.152679314135661677672108,-15.96307058569338185129926956,-18.62704552407296467713884544,-4362.479869856713677194512444,-3620.398448810276897171359663,-0.359160756555770091901841862,-18.27136238369433998516008181,-16.69418013657031486194663842,-17.34415770175539190789782626,-1573.027048179111545313719631,-5359.149423109392813620753484,-1681.028311243491035010312001,-14220.57536762651543213538181,-3871.146325989927337307450710,-55.00098639606553047754640812,-53.34237840635493907922481434,-53.81985869541284588120933858,-5614967176541.568973446270576,-1320.774441622704449976007714,-6545.521462466543557783363947,-812.9498981717381772907446537,-1052.905978542694983547434526,-1621.658370741301762380708662,-143.2991411241984330711587457,-20407.98280822797789059611457,-36.06624792510883429378031205,-74.37943294134529990163922720,-1425.316344200327275160379722,-17.88709995912525744437008181,-55.33035189791019983504395266,-46.05483078031829089074214092,-203.8812414451129170475695472,-19211.92318232762717521224587,-52.71676126456125838088318644,-116.6010189115890057616760147,-19245.15825960964874381980695,-857.5230613689735878893304887,-919.1110435899393055252658641,-3139.889355648142714802181058,-3262.073944174726037357795450,-925.4793414819734542293539975,-1556.039653405485435076486268,-728.7831389648864809553111895,-276.3445333203093704629059579,-546.8694798962255846383381472,-422.9011132917517538641731618,-15935.23937125864560344526408,-1904.882230709119744533777748,-969.5669786130902509673851108,-48.47272344125728840066887352,-59.19203333698350357868511762,-36.96007919757805114954111604,-54.74681492912353481653553332,-54.04864707710818322653553326,-57.22680915420289815215788418,-55.55723158146109137883703990,-53.34014433718486458838726491,-42.57337450868940299512612076,-55.16350235455676550040861024,-52.74777745615589166435212028,-31.70301482044220997067518446,-51.65458051444227010709036512,-9174.671701000239276589473612,-9394.951990313573885073678209
7,-2907796597521.785918268393246,-2907796598167.205704297761772,-2907796577811.082233104366171,-2907796708550.158449420526786,-2907796728522.490986301225356,-2907796584142.901483716856157,-2907796598949.105335491208130,-2907796519391.528351391091205,-2907796519660.740968878385380,-2907796520115.994538932672898,-2907796574295.895884137940290,-2907796520137.404552195386542,-2907796520126.487922616542594,-2907796575166.323549469512287,-2907796520123.058212053048686,-2907796520107.531265704751057,-2907796569334.038121714828151,-2907796574932.743227602321280,-2907796568562.201298269764503,-2907796568471.712924505915172,-2907796574334.346064195151289,-2907796568569.522999886226381,-2907796768379.327506886447430,-2907796592978.294879066176274,-2907796568526.838827446667308,-2907796568531.473066331234549,-2907796721689.122335662696482,-2907796580766.135001270505825,-2907796568554.644440349449769,-2907796568529.063036884425305,-2907796568530.661778043095599,-2907796568530.334886300371878,-2907796573739.175359034150608,-2907796574128.606735854601685,-2907796572153.218374696765610,-2907796616255.535445311366636,-2907796600287.713508827636865,-2907796576454.902228631138408,-2907796575416.546107029250449,-2907796575394.560496190484525,0E-27,-2907796576908.066242998740796,-2907796599702.261232621466543,-2907796569313.024122803062876,-2907796575718.257520895317806,-2907796578669.264407388001084,-2907796575914.413309156926043,-2907796547074.639583997291644,-2907796520142.033056304408135,-2907796572657.125165817654889,-2907796578101.036825816954498,-2907796568532.255863982518409,-2907796574856.019136632282951,-2907796576008.205938305055567,-2907796709768.792635131530941,-2907796520095.622410886137050,-2907796576453.934492949649195,-2907796705651.135662204943089,-2907796520127.001481562161486,-2907796569348.003970439639544,-2907796569389.125281294139114,-2907796577344.526617725146672,-2907796577243.213715659049751,-2907796569413.308080674573732,-2907796576838.847446750837147,-2907796587415.065474208221675,-2907796571720.944038974861536,-2907796576950.193492269536287,-2907796578158.418010167054479,-2907796743162.918255810019204,-2907796579590.974741072215082,-2907796579388.211993218090739,-2907796574330.761108522168569,-2907796576011.850509559004947,-2907796574514.175660117189956,-2907796576455.729393249003257,-2907796576456.416274376129170,-2907796576455.048171664215978,-2907796576455.030022887824998,-2907796574312.728378846075555,-2907796575834.045845741297104,-2907796576455.701965239843211,-2907796576454.282830142816040,-2907796568581.713668850974861,-2907796578980.076614283555639,-2907796599677.754566018254633,-2907796599587.269769527929003
8,-998.6057758524613184758180225,-1558.388883693136340285191838,-6.50888359529705308101324623,-202.9924998163500890943878420,-12567.23507568593794149467385,-5254.205831149488175622607280,-6.50888359529706774526491234,-1938.621495702054871276065623,-3216.448158285469288929221871,-29839.28445659949290549148901,-3.01237603383058933500336653,-1069.878860706912564213837586,-29846.52569887976411984501452,-2613.002974407200938190176905,-2415.964755695665577451438248,-29827.57984995191192958572904,-3161.046453601756478991911082,-3.07593229301377599847264835,-4.20839240032360536222054532,-4.58069827860304027293949640,-4245.942537748354536557548082,-25.47399973360192608609601826,-35495.92700169942866161606560,-2285.664483399184036882342861,-1093.158004413678010510095635,-1168.909406755306671309425083,-100.9770008413696103574079490,-1537.643915017804821355325465,-97.86746685375505488335613731,-2370.320652273759898538960527,-2370.697202775368188109814267,-2370.484564762778825188611583,-994.1729868057431918013480575,-3934.312214623377774729292930,-4443.904911057293761752015564,-6687.182613125859914775800656,-15613.41256010212349247331448,-6.50888359529707309357211930,-4.311659017960847873293930738,-5.81573641473712863771141442,-14779948947010.74811612887626,-1017.485204840318489154903079,-1557.600852155368036064220437,-2225.881001496756959978662974,-1029.902010123933882158700081,-1037.179131492251255452325297,-2.19203638517239680366203109,-33300.36553621443750357752237,-6.24526128470940776803686333,-5.12258923417718265031575764,-1000.125731290586841251500453,-2372.125900061214566610572936,-2.95353553380762686816715536,-4.02397694550905594694503031,-59.91181197764252546015144605,-29815.46904260899278770681899,-6.50888359529710926208607581,-179.7748651241252580268139133,-29846.97779283982473571128282,-1045.886971369730524688877125,-1048.783703493368611050948067,-1563.297064857266968714387184,-1537.735673723307417153899606,-1096.270221076230666618972264,-978.4923877838126554771682901,-10875.04676927896819697164313,-2080.343741424182461403874858,-161.5875720723649852767433112,-5.12258923417713809327514721,-16978.47085453967504126778429,-977.7245352067092409139296010,-1007.104810617283240475117233,-1.13824556716938787101640901,-4.42944205361722742007275278,-1.76395629998664153221954972,-6.50888359529700651963503706,-5.12258923417719421963503700,-6.50888359529706202288586767,-6.50888359529708833209771766,-2.38174921025195258962907923,-3.043154826662825393082095035,-6.50888359529707963916668789,-6.50888359529709762593673416,-2421.477764342798755827074555,-5.41027130662897167218971590,-7762.986885403325873429761612,-7776.816337293856978983562137
9,-5213.930644727475036068071271,-7150.330512792845385179541195,-735.4325120949549493957644000,-599.7697337553792778872276580,-8316.918359225857342124646555,-4034.171594477882740249745159,-8265.514332349829015994893741,-2.84531789504226940929455454,-4.23160256464894408337928032,-2614.853928633847807742395185,-638.2262911459077608936203645,-0.66214430132825879207679323,-2621.038702461465696160031508,-14.68022607581325781948425835,-3.82843928019221229724446076,-2602.289599348480227877904866,-821.1015722002662306079333244,-542.3239357128219083683090085,-6.59583895690364888462914248,-4.91029681591326088936930271,-9.93738606160208202694934899,-1.676576623579167767806258227,-31892.08137122862013317484799,-3059.482662447506910334266004,-2.59236225356959577606743778,-4.212494359684729745460190116,-4631.575093496255590147819639,-2033.525935093217477158314044,-9.078662860118180421888623270,-3.61648570661320951833184587,-4.66008426231285830704178336,-2.99254844905887540478749546,-164.3400994254346135848293218,-3388.376030983979940713190671,-2983.024287361653109017437615,-12928.96939591164048699255403,-6570.173336341388841209722509,-638.2568364494815413518570438,-635.6597265946653420943502783,-637.7221576051627944038088302,-17928631951756.96579706819412,-218.2060165194699669450834929,-7149.720425523723443015098195,-800.2970946153397743747400267,-245.1241503408656498040687671,-216.3204162687112417237023104,-299.3895605458605644719539886,-5195.835843201329764820949203,-64.11009380290522339193091442,-725.5765047882126416759091096,-309.3562787974376037800701049,-4.36845198221463736876151514,-631.6821981265085121219723907,-633.5839202525922561846304148,-663.7896026514530952072181784,-2591.010412942892001571520290,-636.3396962906341729444714603,-596.4764864354364927477011359,-2622.047425087154521907516793,-205.9589196511029447126825333,-201.8696895924215662805442511,-1767.279991460527469741190259,-1903.195756134646379598585319,-263.7567329662793132362941846,-151.3245820691373685204144548,-3022.142958741801676830955358,-1493.306741142851659205284269,-202.4097282036963876424525989,-773.1145551585781159457619136,-16141.55066173497109687397104,-270.8222452662312937319006432,-319.2074964928975569105043825,-562.6398299619589838302795237,-633.9913528878646158570053781,-14.76820304720802383157397814,-637.0126095781485427253956493,-636.0218488762403012053956491,-641.3207571018704822575290054,-639.7020904399784074708617570,-630.1180843793872928987522426,-14.50639798806503659795949640,-637.1773808240618438926238641,-635.3797110211275115764507019,-5.27286834021880605693466461,-655.4730009198283510136313441,-9621.416049743180719025386767,-9837.428161150695803185649582
