,AllNAc,D-Alt,D-Fuc,Fuc,Gal,Gal3S,GalNAc,GalNAc3/4S,GalNAc3S,Glc,GlcA,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc6S,Neu5Ac,Neu5Ac9Ac,Neu5Gc,Xyl,Xylf
0,-1960.289322852265993689539978,-1261.599888666152953935763970,-223.3019583622830220959445374,-81.16327334399571557004576810,-90.71749485524233739637749011,-64.50762918709817388069251489,-86.4121763535080778089746495,-225.4330514539611044171185339,-226.0943955243874943623824937,-605.3607692895905602731539226,-481.8931725283293774829633101,-8.6531604974E-15,-1999.617105003878841076369887,-61.24648325301448576057186242,-480.2358190805405423670220044,-1373.489639698032436853972091,-69.18014723613568531063546433,-72.01852534458988071161363011,-1284.908770115090275472472837,-2471.788929432015667073605045,-277.1859332927752405580867136,-479.8167351160111333277095560,-475.8239354371387052666201598,-3652.036338289806003087569689,-3628.461124635482874448029872
1,-1825.108364554959100731704518,-1889.828194401699512250308484,-9.1862490151581421060416000,-5.7294421509482000631682773,-0.003517428488091398191293883,-9.60870939624900263263408140,-13.29271801263340759614765263,-11.04679865670280304467558374,-11.12937358790699533637793312,-748.0891427857610642935889903,-58.26015899044281023968044699,-70.2587079978473614410603171,-1425.914456841743290904037428,-9.71318203472949903102401333,-58.10062317425233073322418452,-1978.779122337594510030912538,-522.4321336280835667110075826,-720.3259351041302214998649005,-82.30853436347978133403972416,-1087.409691710965454307123316,-46.63452754603413867872107921,-57.32413945624889708616022971,-53.96460404843802282312510760,-5247.893425283909394057147334,-5210.915477793784147667483546
2,-1663.688923286495390877879185,-1116.486925442129365852655660,-255.9827243236800391012235497,-100.7350786880555801621138586,-88.58137208447471399118432145,-87.6718970144096150822594864,-95.5691532597992770961713853,-244.2163059718879428552597506,-243.8586977311473621706341960,-413.0377971460111697403024349,-406.5103912092527091444486834,-1.0055138242967097E-9,-1741.934480446354936780260187,-84.14355853804234810956593418,-405.3624748274309611912491896,-1345.050538404728994707089915,-20.71776660820091197348225353,-170.4777640619020368210928042,-1095.339726426861517760716099,-2058.034234818158292465316242,-234.4382521045060952808315562,-407.1858320205760709697983928,-404.8792386984388577783237441,-2738.822474696795039055748347,-2680.122092198849639387133517
3,-1917.647919806579134620705099,-173.3723066589977466300000000,-1385.667656105988102729907442,-617.1568140986764436868322763,-592.1874989633198231133879211,-950.3187699092141144392122431,-657.6710722496605311560799390,-648.0656325611179772011380664,-662.5120124570974432773243304,-276.7546283016368645707623839,-618.6168847773202111632011725,-0.418082752765563392034482939,-1001.594538268089714368537886,-1100.434085273880493338678125,-619.6604703484589756962243875,-1390.266943665050993102922306,-1066.208711335875675833717841,-1.0738447990290074756269411,-1051.146996517480738966133760,-1663.848769224616752240495213,-610.5199487632741981774673176,-619.8155771832806314805504818,-615.8631573897515968602294506,-228.5944392860809466816417290,-228.1634297043961763994287590
4,-2469.766895750881120041470012,-3096.948436180573220947309389,-1.880565512445310215000000000,-0.206459012109396975451558382,-4.069163031000803517244285277,-62.90582730097525366814743688,-79.82579863036652976917667092,-222.5442500798799039505860689,-221.3363107526148132208029349,-1042.272236286446806485014867,-150.3345533160523643821473774,-134.5883439452217296931816657,-1929.343567537404067829406132,-59.02793760343113076791865781,-153.0749335542987885368053690,-4.077790089781532692908151589,-89.24301644725751320334378712,-1016.694586497127174493849587,-150.2624668655504055167049164,-1983.726319130176576128336459,-143.7356120881327845732866183,-150.8211548356822034953930133,-147.5395790039615890186775119,-3021.364051815787285437153326,-3009.213287742672728332390753
5,-1719.407013878392274712731060,-165.0505778842072882120206000,-1928.506910695834247489304093,-619.4735776905955441262802878,-582.9267956726417752413864281,-1183.840830592288621055550193,-597.0981440340009326260375047,-580.8217631544301608559862268,-606.7756379876146142526489117,-71.40920126562895650631716435,-2042.527578369850567783717438,-17.7050312077132897256585458,-880.3487066286626231687216571,-1914.443460378216895831958188,-1904.890968675131986914097206,-1934.395545859861031220943445,-2676.562332156473195691487053,-0.0000014446838605354149750,-956.5081552929182208834145097,-2370.851637370326037284303498,-1898.205062579232473888900414,-1886.131131959925915709906677,-1910.491272090442161223610257,-13.69031674685529097162901745,-15.05042523613392082456625830
6,-1893.216930189476929512338254,-1171.805344481252235266566558,-267.0908506305082197398363970,-111.5609364905759311293227532,-87.26823841695119698330599526,-104.9905164574707390879139946,-115.3898011598436819989923900,-263.2767407825559773576388046,-263.1822543071379424201797664,-455.6697042849771849519386362,-483.0305521451094406134452822,-0.01516262352017878568238275,-1966.568025035758209587864145,-102.0673448303865242806777076,-484.0704120075163074116865650,-1396.075025581450894949487551,-4.19649359071631933098219082,-114.1020828700782928341515884,-1295.246175931989873377626189,-2338.837471094058621534927765,-236.9985597504558810374496722,-484.9314537246258425395226060,-482.7517210851370480170460798,-3077.875145888163122457587861,-3022.807408298177509998859163
7,-2879.434645556014192243110330,-30.01988303556400433226762955,-905.9533431843511861981330794,-420.4407446380073582818195255,-398.8032600533297674075298229,-409.5377235895811743561906300,-399.4902513844390383783534823,-376.1738132715872691794038498,-375.9141376535469063324806691,-64.24454967596202876998011445,-942.4778800453321586266755341,-89.22199599353358923867918063,-1952.062768047733491304947838,-972.8544680450338468509096265,-798.9277823378267855487944739,-914.1835471109556531303797413,-3787.395126776746320396110475,-9.2498341443985E-14,-1985.962693461874396241604876,-3855.725154440601204913103155,-796.3137268245769650280785691,-780.3547159840520423738939968,-807.4843669121377092476756859,-161.9482399867920116651856537,-131.3562809233531303427089935
8,-1765.354874329171420017481083,-4.197059827100026353401153625,-993.3860974872702248279948712,-443.2919181390915279142137033,-428.9643626798168942265926570,-658.0873570378240961980452821,-431.9978089607029724211107602,-414.1857934209104335390438728,-454.2581647138135287696254699,-42.03581674048767227754716944,-1080.821247153246003669906514,-38.65643253603181073381018052,-904.2793263642620058665097494,-1220.944721834073042975711858,-937.7358519097611967510279514,-1000.358763911761942956510818,-2998.707491512295244924362120,-0.031773410045034615616064398,-1039.845505619529882616196523,-2702.826600144753739147496201,-934.3033061888696447245979242,-919.2557338149760379168139436,-943.2187879511660927174108620,-4.120635483193983208637827765,-18.13553722236372262279621062
9,-4.715408715574203058000000000,-2590.640784249851577720182056,-1035.544192682762426740891120,-76.47415808143679634957109695,-74.01366346943262407862272026,-711.8198332124012267032949690,-5.408555894433317682658409430,-289.4460437716541504231993872,-305.0752722380721153030756404,-61.89482742262367360906635603,-82.41867234655558066397359079,-0.057297317663987721080190350,-5.408555896134125087484995950,-1324.167265660452053538965863,-80.53069950090331154693985473,-1890.647349982327367519000130,-1922.505371844089863851544858,-60.62512516539638805450585975,-3.276125671038453813424699960,-280.1308641885044349833807054,-79.24477518709979580708269553,-83.00159349111383922296098139,-83.35338132576362649019358666,-1069.925513726423640055495178,-1011.241231811735003440673311
