,D-Alt,D-Fuc,Fuc,Gal,Glc,GlcA,GlcNAc,Gul,Man,ManNAc,Neu5Ac,Neu5Gc
0,-604.5347601455908099026880360,-1.609418108438301401238995352,-0.223149304001998577305246215,-14.30376433536127403377629636,-102.7550321286388781072097300,-209.9677892901717132800255594,-103.6409263948896422896641718,-17.40539554309492926704737886,-95.01359251934935277990357882,-539.4977355687258107794977240,-211.8135353415952945353528120,-213.4038185673971389611229826
1,-550.5983459883539130600000000,-47.85379375725928329083146138,-44.50194727516129205871055811,-0.042559614582343314829879918,-95.04701155800038913586454048,-223.0758974830090916689771746,-147.8728621468340011696555590,-3.178053826586332417544038450,-91.96120977264987237639646281,-557.6719383245176578971555200,-222.2318696959021484366553517,-226.9184796990025392516775078
2,-118.2573923273042727350535352,-135.6378260456335757095155399,-134.7777525845301117113616269,-90.06680663349592568881194341,-2.730308674978609721424898658,-34.42061046442533940307036288,-0.265295046411476361751050013,-148.0606945738473784656454397,-35.56374811910113087185767016,-1.784856052034650779223663984,-33.67332628928725369180204387,-37.40613171135432367334923662
3,-0.646578710979395684940000000,-94.43794059411990114739964295,-92.49058908362485464290681205,-60.82928890312313624330785950,-39.72940108478295061576171590,-81.18948307832072693229277000,-9.492329604499093328387860346,-77.37382020413689665338051084,-0.742149066951772442888470619,-179.3431060928642367025061441,-81.75179083195167707886195095,-85.52550400619199075183379455
4,-20.20162315959804223504196253,-75.81625970855148390110333678,-73.83304776040025993161483709,-52.74176183198837286274507461,-9.86624570334664470702750607,-62.35194435643123106106502085,-19.82401463638211874846183133,-71.98411036281187376000897765,-0.00005190269029583033094512,-158.2145190039077822878288401,-61.31339382125329341560764325,-64.69896595784076031680155288
5,-94.67855927253852204687848830,-47.83784244393936557427255966,-45.89804180873556071624832569,-15.40084627088263529601339741,-22.90833914234412657833669621,-105.8653532129596118125435019,-37.48161135816037435911821821,-24.35395700614520521749386678,-2.05017990806230459957E-7,-255.3076865632564766738589349,-106.2130376679542160648414281,-109.2908460743452329716529764
6,-226.2172763241646972000000000,-289.8995005977681915154468184,-287.5501182174222178114693660,-190.6038028521164878062589662,-77.13691843310535559376024351,-2.617987269223428627090159662,-2.073693102384959721517272971,-298.1304196286714324981043346,-94.54166786750388154758565007,-2.633391762498278980311055536,-0.826227799995359148517009466,-1.231692908103529366137892355
7,-39.37041555102589807516471996,-23.17593010199264918783677174,-20.82921935801253206299510366,-46.36182994816975420729495793,-0.649757735828484081775550020,-49.37085154096099928465714415,-0.738512397078721820620494717,-48.55313546634760338850226681,-12.55302651569845443774148168,-56.89151179975950259520081969,-47.89507844017028408119015264,-49.77848171542840420482456207
8,-19.98723937705667745538500000,-71.34558003728619739224832730,-68.79301943703799315150695606,-58.36568456457973396900697540,-63.97509776883939535559165189,-184.5810616048508565358134610,-0.000009566737923173850240547,-60.53336759924043390869998262,-11.55744130048884286011887178,-121.5589076101618484001212250,-185.9342078567646597082401648,-187.0877087592804774255307414
9,-61.75661598581839984875137848,-52.81373011155274604517352272,-50.74521039181759470988979748,-30.59800548008115878018447244,-9.726556791642238838999879695,-89.97017140014744443057412550,-32.54895902367154981461669026,-44.56185439690581108717420040,-0.000059679203329055364700174,-217.0556431472675228751307374,-90.15210390211373341135561126,-95.77612190194489354752911626
10,-48.40019227188935412181359917,-27.04719179730618169943235566,-25.34269103713283340120777077,-48.55975987750838847103954581,-24.38376283066921372462826586,-101.5268147964449213501445160,-3.7396334300249850E-11,-49.39513230739509671167066441,-31.32495637729338903172215798,-100.1221544729817218482588647,-102.2754624880770674511428781,-102.3833969328539722839534632
11,-51.78911824997923191946650000,-117.5020125312353790648495614,-115.3392733603195411138209573,-95.73553671955093057329598905,-7.71220604493848775952663649,-52.39545326101275095707437274,-19.50079975350030249503432362,-132.2486829730397678014484541,-0.000447437030486332200805697,-183.8921743910616949570244633,-53.45887906465532947292703407,-58.26303551124865723097338551
12,-38.11838060084277200000000000,-141.4950982977390606794909569,-138.1369288601675017641021212,-91.41663738673887170539569299,-12.73138837700335346503007673,-62.67166995094160370982524534,-9.436832982008061264969122711,-121.8704880365312477128030105,-0.000082692785510767025131767,-195.7357268273028142886229051,-61.86868242767933343171967567,-65.43191988409645436958969635
13,-133.4874831706729408849813084,-116.1166318066504837377434920,-114.7633207295029633405321254,-109.5632892902694624616541188,-29.64641388111280378135981560,-62.61556957160191992923789063,-1.35779633387717E-13,-125.3004511631698090391238750,-62.66651829201527397253545165,-61.69497382346943850048827419,-61.22226054433345946697107984,-65.81881850470528129260512976
14,-46.50946809804741455601725925,-12.79944593329184656650653372,-10.20118783721788642191468246,-30.87304751426071293843621717,-28.69938923767788638931252996,-140.9828395317402174296436377,-21.72243760470408365653340965,-45.52398674006661023254036285,-0.000039889659404492428887055,-257.9117244815920604706232218,-141.1099835093954506977740373,-145.3447990177118825162335577
15,-77.95105594892825344835587500,-45.52918026633520551002187061,-43.61986569085729691489977129,-21.48682084280521510050356755,-19.58739767961241605890470070,-111.0699901448693022012311149,-37.42431920556463455687489126,-29.03097245710865283668681367,-3.580130675643051482E-9,-256.8458747174484881378101544,-112.4288000587242118960896694,-116.8665991982892764868637608
16,-113.5048523020754953769105057,-133.2419255718123235915690989,-131.3213449210585276580974463,-92.02994844726688895607281482,-3.443944881783821549715270016,-42.64276666777093557230554728,-0.049872532331751700627898277,-148.3133446133600849426517607,-37.11665855555045235654076413,-4.091695653444273316664624767,-38.88676839362432608509508548,-43.21309644066437765407032946
17,-45.37646078632648853929419785,-34.64191734156613277732973952,-32.84790321910932598974587931,-46.37148455663078135376769671,-25.01397576325562655219063976,-75.88422490301675318065316608,-1.37375981289588714E-11,-50.07485081739713756494686386,-30.95389685787541690266922078,-63.00048998733520000891539694,-75.31080270652195591156025786,-77.39893135441299690808983335
