,AllNAc,D-Alt,D-Fuc,Fuc,Gal,Gal3S,GalNAc,Glc,GlcA,GlcNAc,Gul,Kdn,L-6dTal,Man,ManNAc,ManNAc6S,Neu5Ac,Neu5Gc,Xyl,Xylf
0,-4.404949735106387805895888645,-1046.934846751286584370034245,-1196.659159359692851845700915,-48.09689015944717545257153751,-44.79848427608115239675511187,-531.4861724866073743657457093,-356.1396344776093272444710989,-52.25553417042959063613214101,-49.26589617068609494788989748,-0.063493546616810951888838491,-542.3994481035099129072300500,-47.65862279308732061206131249,-619.5374947466186103327985504,-26.79011085771638765595162306,-3.009768241034891534789623351,-55.67565472185710997105394554,-48.69984678429583828690489453,-45.77988652078329766361068799,-767.2173687031706726256764731,-761.5097668369054317077730505
1,-333.2365693853848400000000000,-398.4294360074381328316081192,-112.4071170493315191357059808,-60.85194009737230893144926754,-10.58978534646446866194648000,-50.81547466331706504790806650,-665.4572804442481128029132506,-184.9406625900662040855457881,-356.2374514728259761475100125,-0.00002517213924878529904667,-54.01830908282156552129346661,-356.2766450928156234341634260,-219.0455657343445349134959525,-144.5008477552560404189674519,-348.4990494747076308233790389,-621.0030647053169979058679383,-349.5551505217447717923989994,-354.7481860461752600115941658,-640.9457735011472652064495559,-634.5650188020253086998560142
2,-10.00374184530097870195029438,-940.6284446674595474562013079,-1105.247160652809129555943455,-105.0529367751798779526078218,-97.35076389122543825440683197,-524.9275994213599194799238400,-401.8865425067640276839001352,-57.04343024833402908191631892,-109.2878106249804608835474926,-0.003467032662937764530099700,-535.6486428189475635685645603,-110.1693122055057231061290849,-589.4544522384676030082857463,-29.06714135425315095964055860,-5.679343822976570246396622730,-50.35114794511287909747798609,-106.4514824411345695231396370,-108.7652867510605758191302078,-784.2451462333784328286913655,-785.5369117874139170623505857
3,-824.8111646011487814061335375,-0.003000374406726569600000000,-793.2819421419836363667438832,-263.8546009529810897417323338,-171.7303779453470897219213059,-302.5530110762175399508478657,-865.5001661432405443595214431,-201.0682641445849199926386084,-295.3116210858357054588192249,-87.86115348699237270161066570,-317.8884526847959761187240736,-299.0926355624898252839563797,-910.2342415875393465011883153,-5.810518007968780869550792319,-487.3915440173828709572639081,-1057.906957655335691853011224,-279.0027143074948813269219544,-301.2118166599774928142172941,-319.8418896189490446008041426,-314.5097251759840529108590861
4,-796.0693208451497512593988708,-38.04329210391696278525272015,-911.9991728795329581869809931,-180.4492771020194241472363025,-64.58807168051896218064265659,-238.6541021077107712633120237,-730.7528129347130313669976395,-2.000420919059626037648307786,-188.2879700065801712039146862,-62.49235772789119321956028165,-259.7477230189417481879822205,-192.3537278122511827040385213,-1100.064925278932981588448783,-0.145347592642414224205075481,-307.7447191093325526707912646,-964.7313917443595979746320894,-172.9718957998088834166483580,-194.5472135777927220677301599,-91.09089195577972423461635047,-87.28542507077408105327632306
5,-7.783876893042248297229082329,-791.9147924048866368784628889,-671.1952694517459364534697189,-34.21766933673669200839834644,-27.58247200976289951156233700,-419.9156938100062982348735820,-331.1891145235026576602160783,-51.01992799949642724239375525,-36.99691991289173470026217208,-0.000426856434965024443959359,-421.0866536174466609070779067,-38.26600342520418288447304402,-516.2466293166412104550908874,-22.00136886901196163521525785,-11.47656059374945807354410356,-73.89224061832773763816546097,-35.24631174952089178134125817,-37.46930649874469612119925734,-759.6186457285442088233945108,-760.3437301563106936885831440
6,-810.6873980455122469079437338,-66.92981229391411097200000000,-988.4304716361911708236276838,-250.4021474482279859582214715,-228.0270751820497699509327380,-467.3961974096267391933510366,-1075.034099067625740135934895,-51.17480838635885605213493560,-373.8934656751679004467356796,-16.63718388737720991371669548,-492.9194393764807077207101239,-373.5593344996757596569421458,-865.1825150866220836375471560,-0.06312988071556373840762257,-344.7505624636737437151128653,-745.9329824209903000775746970,-330.1929610724900887737488712,-377.4819300729224894046207933,-3.485886478570900492123709553,-3.488331250921761950891361785
7,-550.4681381138835432120000000,-1601.655410549915160389787041,-1354.730721347562820247008438,-2.6982013043854600810344194,-3.40559125766700149584281125,-256.4724072602437895830190005,-3.79036773536277601227471040,-363.8054049041671584541404147,-2.691755446694664276086659011,-6.43118726213496964274739977,-260.4155009809752461636580456,-3.790367735362766092483553511,-349.7935880875307617430709965,-429.0049275631301207784627249,-4.076231970852553525417039169,-657.3770809760600616005161695,-0.571491910494579892390950580,-1.593143158026557804367470461,-1858.346700789497928933722314,-1970.777263034419862702900275
8,-115.9052456688183600000000000,-782.5405249593561289558379327,-1162.798167899831057370010351,-188.0940205612333562732220604,-172.1624172246981643733847678,-572.9920933125345174525298658,-788.0791336389041945052034005,-80.42989627635935725872614826,-444.0342755135101168000641364,-5.475372095964E-15,-583.5542157902647692091763690,-445.5617786631114108296225085,-657.2551756472225993081900053,-49.29498710831019909974351521,-133.1123970464107604223170744,-207.9131392869959567835796846,-433.7920402268189608667213698,-442.5420474014222191316688028,-813.0810425036276009587684307,-820.4598360398379234912389552
9,-933.5632729431934492161955363,-138.5723478176622103498100000,-897.0311120791149320465244215,-147.5803525400939297853109925,-52.96547906813805118130609387,-155.9264788379163215211766680,-721.9842166788466831436234622,-40.14105106771891731183796133,-154.1354852017268240401493921,-93.57525990127256030628174137,-193.2154535129559062070793941,-159.1480209749748886200661093,-904.3091484352069026029683171,-3.314918525870E-15,-416.1181748866689957392503896,-1428.971808081562087953607174,-131.5787727616696847269195287,-161.9222134307093212940388552,-178.9910866147350229583054366,-175.1313715067431075441502278
10,-775.3137198613379224227978200,-123.2925722506285402130223264,-794.8239957463317672185602788,-264.6657251070985275938365140,-248.0763308119948382966865634,-622.5853976895813137975689022,-1109.900205998825940542486520,-53.26057590977499532207037600,-383.9406061353023807969101510,-4.45684815616997870280887727,-638.1708475439283191727896873,-387.4982629475546825935126991,-840.1709608465437471494193718,-0.01170841667798683442559350,-313.4329960720856989290957110,-730.3427381175706377709567136,-342.5186400149060258566886346,-390.7656134374073227298029819,-15.70947926621881968423711244,-10.09887288784089258723475828
11,-915.5176882892790868829317855,-96.81971076937952065300798608,-862.0726922747302753623230675,-128.0801496981910692521691526,-41.31292692421129893891497456,-158.9622604181273514350314448,-673.4550150787744655155107940,-50.20427680463379192463332113,-129.4681234854244949195169534,-106.0838106416845374459951752,-184.0226234206585195148908207,-134.1000922219731979128922487,-955.5789555367374826466465088,-4.80063870620E-16,-437.4028780777201489011311529,-1351.523863630432670893237600,-104.8352589142082020342012665,-135.1591214019419923841249564,-124.8534541128127337383509985,-120.7503458649546850282165475
12,-801.9376021846632808400000000,-123.8915226408280461285437668,-179.6253725545973242148568368,-78.65714998838168550868350448,-15.65109882719026719125754952,-78.59669615978036188698441843,-1608.298807332086869725768013,-248.6705998738967364738222487,-784.4945862248819956479095021,-0.030131366545717845563154620,-81.60487424102364137864248877,-784.6218595517059506816534250,-3.51722180061994161925842800,-76.69270136734668602791005734,-397.4724348938142472606322724,-841.8149487263923378377709554,-779.3932882216338062444429787,-783.8862021347614110131408814,-469.9285034892080502479651023,-460.3063417705336807735971190
13,-989.0100783123347626192371145,-1360.493974078079894683685892,-142.7645243937059758500000000,-10.98677256754479027592093122,-0.040619042693444713943107289,-3.51186640291802583308707124,-437.2165601827343022691659527,-210.5594741041947407763167922,-70.62789548786855837750137963,-114.7935457448015366738611014,-4.610478691558279830541050288,-71.24649192782316751820882745,-77.12654861231758225933542817,-276.0867078201222782252780667,-125.1483465017420209835776858,-646.3939890543093458585519920,-69.50781002200064487451542274,-69.77461699779544545739335550,-1451.879775726429917328043990,-1618.019817927517707452987108
14,-571.4530017080312608381206333,-482.4334645788846748694719947,-11.13022800353581228710105479,-1.261489769743239028340725491,-33.70212665282146922977935072,-28.93936151554670675002431487,-481.6474398724818504169000950,-270.9502324413658092485112698,-137.9253236140850318813740642,-0.333023185426237064556764041,-33.15535913631972429445835571,-138.1067234862457684284072039,-279.2282266367221099988918459,-247.1957317353203665246647522,-382.6472702297362319350291367,-655.9288642221318254367773143,-135.7657758545191072612909682,-136.8464639227935068606553505,-1136.315222694121337798872139,-1150.785693944540530381136749
15,-533.5588326319431545370445984,-566.0362212230171569236939939,-1.874772641578325589834511074,-0.166639786988329983861779904,-25.48637189501278955965208223,-26.55801401230748252735548268,-452.2500126749160227425753512,-278.8635352198019359430900721,-97.13344117875206079469082544,-9.155054366703331486748226128,-29.40120965431377994006826305,-99.32242674389470485842790715,-245.7105847512890652483274257,-277.1646270618104426935350294,-117.9210017207072764284389342,-536.6524454132387132590470932,-96.16394079706129465108513745,-96.49454778766179450014230395,-1343.556804763316159139513002,-1363.821167615894639999131050
