,AllNAc(b1-6),D-Alt(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-6),Fuc(b1-6),Gal(a1-3),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3S(b1-4),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(b1-2),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-6),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Xyl(b1-2),Xylf(b1-2)
0,-9278.362983818309967112570125,-15702.32163002276519421083556,-4633.523361560525911771556453,-1371.349738508493307096834177,-4631.349547200079613127856893,-341.7812976569499232445000000,-42.9038316423867345529394688,-4629.168787319683807615079864,-4634.679610886699714461608859,-250.3066457311000375467442098,-9.097308812647445143103043946,-3.64113225146057553185170332,-0.119529316882505415191538762,-3.98966742345356350270746887,-4381.604849995652267941514973,-2.9479851777138584226712612,-6.08975113768181328180173385,-4.334357452824001252385822669,-3872.962352294342703374937065,-1007.311555669939982548600826,-352.0557103592497880367347055,-964304813.4691678389358946522,-2506.841636052746275104446037,-2528.477507885851478955459965,-387.0193112139953765501167142,-7835.319626733987113112816978,-2541.227080318569376752146555,-4397.740363367468086058854959,-2541.812104184934374911805886,-721.4137409572291341025094688,-344.4696728429959097525027054,-340.5803499418333074764865768,-4632.435405127258515753540627,-142.4689254530447895764789132,-504.2831577020301775300477612,-4217.007530430760361857589139,-4336.880588746419647072043110,-2843.616960764815349759517631,-4680.203874863002977295568070,-4743.608350971672765054267690,-2563.997698605115855713894415,-426.3432545218964714597312612,-5600.325569938852194582154044,-330.2520676822053174856671284,-342.5488603789069310718290000,-340.4367924347862178924865768,-343.8590741007886265824865768,-324.4254512535369912031689312,-343.5801574052730461947310000,-15672.14595956809068237553198,-13986.55170188883592349021522
1,-18722.45185064132180144790552,-20608.24349141368932598856591,-53819.78470907297674358343310,-1988.765142392249954002443141,-53817.30896016160334008797809,-2707.123200401836114715600164,-323.3171785162920300000000000,-49045.27611244656156201912509,-53817.15270671329226523956046,-1899.631161945654260612774215,-438.6202649398786166524036422,-6945.278626082896307020796841,-25.53192978749640871156275390,-290.2887739926804325237291804,-14689.95251732710928032146220,-1908.910657994250391894901145,-2002.174437887734664893962225,-1997.385200006901456704599991,-8001.592015195989445239748612,-1696.948296835061358293790728,-2173.823793268337528365849066,-1683284304.851340426862236639,-1031.463230353940000376442673,-984.0229907086572490251047274,-3230.132768138085369852656152,-69314.82681685671976024317541,-1080.541520133873678772102945,-13498.56096911591958910134378,-6122.499747395246531974213681,-4.61512051684942759634026323,-2187.809420945517722350710196,-2169.596330071531976385076966,-53817.44392399032340603589269,-3030.458429507050818798956042,-1652.324394162442649826890696,-5318.233336890569249873587196,-11852.93218592709537932869618,-2269.786370249249509619244578,-4.61512051684941877507460340,-0.020000666714828144804603402,-6145.211364747290871370673212,-8289.403472967143982601490492,-20543.83141369060143284565187,-1962.025528721364091641474233,-2710.644981424989403039195973,-2702.228447391210995781088540,-3119.840796177040956254193328,-2132.728306526317903064793887,-2706.829011340824606826018183,-21020.64762835626609860156181,-19155.17099740547385000394549
2,-4578.028585475160460084533672,-105.0227331787689799377490700,-14633.56079973731741064133546,-11059.13419596505469374464196,-14634.27220888443609215230848,-3389.765336667001815036294801,-1782.318062348083556864217808,-14640.02570588806493078100264,-14645.79639025983169637002123,-101.3393183899753047569048462,-1511.438374701762497954401178,-7541.091168883861251635419814,-1747.869603751989629935557482,-4699.019624956745329703460738,-4399.989475866677312182474497,-1784.341238346937139106108634,-2232.349337877323636646368359,-2248.882377708694689283846337,-1142.443180091422875279353440,-1108.558246488568153158550523,-1886.794270578139976361687914,-1554210454.101598812603099058,-1143.695194179413807200228797,-263.2643453370171239259268484,-3214.308570708969230735128481,-20361.95560970430989225660864,-13.56756626970833685934908499,-1789.284647297952499092996438,-3355.622608098311992747576222,-11155.88033030603237519632591,-1909.052064259771045964677367,-1898.521496213778547834867220,-14647.46819025874008839284521,-9588.919539505196960356069806,-155.5257590951555843308980486,-0.049734201047068197202899767,-3.02585492799362305960627995,-16.12661937016687543126651228,-12520.08148028660306159271647,-6735.929897073185051527671190,-2236.023649335060239463430171,-8554.039384237908279871289504,-5881.614731269914459620663968,-1858.382420686694108387916127,-3607.373828269263664018817555,-3472.729363183798973462066469,-3450.951053741360754824509740,-1919.863120356472367110495592,-3590.436402289732150966607976,-1531.206415406285549152993705,-1516.322456885690142863863689
3,-148.7908999747207547551523895,-7197.017683078982717352212241,-13226.07856470829040890444000,-3484.254030866877834497472853,-13225.80297929164489478806284,-1612.101975008384309620739698,-1515.744582038964449812253762,-13208.41045942647133533933743,-13225.29437591737886633217870,-63.59768124001971911199975768,-259.1874045453252919377417429,-2241.819072481182064846031719,-997.0396423805842669581930545,-3736.767550432782471820859650,-4.951615308917250432522389529,-1529.104141747751685741394813,-2191.938449470243103277908019,-2194.829026572170090832909731,-1696.244177426254694196139919,-647.7246605367841678812621393,-1604.177034355029367075465699,-2256398580.167702195651981313,-19.96083946230980677202238945,-0.081531983649501912152389441,-14.47402836303256178441211988,-16124.63159170723891500742239,-58.45755137895808734008791381,-4.919544846725012222325736519,-25.32359098026316637656183380,-9378.986971142680166013144529,-1603.764381523738848012834663,-1605.780772902778749061750795,-13226.06305195869855285806225,-9337.063453086606131791606432,-51.64757268589884244708667063,-51.90117832703814032198046768,-30.36171375437432600027244494,-473.7438983936494379830280371,-14290.68672232212960205386280,-8820.888890078139202439287176,-2.867877553666392626561833859,-1593.079962605407736162176140,-4.947318951287196376561833819,-1603.702429612718598415602463,-1626.345482880162332455328045,-1609.228757387012408531552421,-1614.136177805372368477627587,-1605.496261267325117347451678,-1613.514156303306008810340962,-15537.48713016650002485673025,-11444.83249224997152985317206
4,-7705.342100313582248230827191,-47.73744968388342611000000000,-44848.88205629314197708009600,-8058.939773855975572057628087,-44847.60551079482909178439054,-2665.974799217233832781034194,-1171.296608422088953210990774,-44731.44189822596736018129016,-44848.91417356023678110657750,-1277.777103710642009677318906,-168.1794834762373459688618755,-7756.354507927479656084162716,-882.6517644440306545687481941,-3146.301518357504521514622154,-5202.798592960143831021969526,-1162.185660703620658674319614,-1111.728026519182563961412300,-1110.675804576752033100312279,-2.87932850057215245222073279,-2.36850287680612799150851529,-1230.451673663983514940819957,-1841977005.090383890067510527,-56.29152842159252971403034300,-90.97820331030345410934944225,-3633.270840897615732486709860,-49801.07965137759505682869467,-92.27924682278640547229327000,-1160.541968519115031291378797,-5135.382913708112886703651341,-4106.583889008104618656963059,-1253.850418610929241005546159,-1250.160189801007222454964236,-44848.31794633510392081778841,-10875.12150972610505262363869,-0.48143322777374619538456909,-3.93431066265880957917916220,-56.25749576052540889055721525,-1.54763563259984467048557780,-8796.109752639858123901092697,-3260.082404356825792190690054,-5159.058107658568545400051601,-8755.478947269304722192615783,-9119.483436916872667464725599,-1259.411045497309686097322687,-2876.363922304049473469441127,-2744.287670336286823846678871,-2726.835158482058407457351495,-1270.671138931062981633156680,-2859.145253285306857697759498,-799.0382122081588563491936223,-727.2629838373914807704704108
5,-4395.861324549973598343911085,-12337.85432665422145109966594,-4.44622850543239735400000000,-2.838627993724579548510000000,-3.347560327615373421864000000,-3724.179001401322414387850036,-5.446132957162979771982939263,-0.68498554983537494894000000,-4.446241282735730989110000000,-401.2504205421328945720848678,-1301.801997063448851031201601,-2639.982447195894942757676591,-424.8425443924489913164508782,-1266.793162562203130579472265,-2369.890728415873755789581746,-1833.313931151963242034518920,-1816.097420922287443976407397,-1816.791194076766517022054587,-2766.430050159850594929475506,-1730.686319325365870346807750,-3209.464149698687219565500753,-1700529772.536085161344056552,-1040.421819497759182747127922,-1071.200760498173954560622253,-2356.181738038075299210332832,-4.44666430345096813381000000,-1.046891473890549697389559174,-2354.692787312676667811292633,-1105.238529776622396347310412,-991.3657104429702706850374396,-3220.856238295937252577803472,-3211.283616594703835668866389,-4.446156587976082385602000000,-4031.136011512250081688623096,-1207.428298941374851031204868,-2323.975656544362487434394146,-2189.777296370233233054810398,-1639.474655002345108500102871,-1472.443218104841521477281134,-1566.589397428259752941667619,-1118.439959387918855748068425,-4342.396352532460479132891958,-1585.702684564538920226145183,-3073.470821751481655292555604,-3732.979953538088601397397688,-3724.810530496406901050287354,-4056.434241971620973945441694,-3222.680583640640418603811594,-3723.339756918671264922537373,-16559.10247890191698064899008,-14733.07338758366428615868729
6,-5171.184422708727676563742773,-3750.616395790174678126769665,-1642.176088031527896464314397,-1637.374639358059852917308681,-1640.699255136887342416839428,-3495.945177418584343111781880,-1565.767532813314635680797716,-1640.783912429863075672886588,-1642.776591804058419309024102,-22.6477310963089096000000000,-903.8211391707818560372906253,-8252.281389528112681239053972,-128.9733191782762274301073714,-1040.357718940278446269556520,-6772.884250163629681448348778,-2163.117654404660010642123934,-2686.186648917967301734635753,-2692.604621387505823366802241,-2318.270329444473522331931493,-1290.816254451547617903400466,-2981.589171145123233495703046,-4333247101.019801274842011499,-677.4008224182131874392891698,-701.0568006605700996117037878,-3274.302280857271932766535976,-82.96506386876373745796093092,-0.062970680821181677008103715,-2477.655299305259474202940545,-3169.300492588104466104896588,-761.9700819822336449229852412,-2995.370092396464250484948683,-2984.463890178583666905028413,-1641.978135652817444386567027,-2.79640617185731671477559377,-428.4228111934173983131622543,-72.3104346415420194084113368,-1828.724200830222139028899891,-63.9058380349211228585459562,-1903.031936650956565589708797,-1999.355060377717368408644848,-978.6385155922191058876077960,-8405.953900776520176832023390,-1943.488849940050915792011563,-277.6056270836137534417816100,-3507.347643850057271861413498,-3496.586309156461020469151184,-3666.294519350243658767535497,-2995.414738332427002508105227,-3493.231683386194651306375191,-9040.635140442363741893021121,-9019.249419461447656604849527
7,-376160486.6814062750770861395,-376141130.5654771661562009179,-376491391.1118251147844470942,-376147195.2625298911233088808,-376491390.6162714183871327007,-376142745.9701579749496516206,-376144657.2961453024448044011,-376491387.8596196172124775987,-376491391.0126091367827240653,-376142460.8792660937976394634,-376142635.0442431103971251360,-376154083.8863572464256296164,-376125598.0372499952824151713,-376147074.1185964594331950452,-376160011.5398785326829674460,-376142702.5977975841770014653,-376144933.6885163434694224745,-376146970.3933453405905594459,-376151606.9559427191518149816,-376145903.6311702762809739573,-376142732.8850783313314539427,0E-27,-376152334.9442666431641213560,-376135022.8068463755421168999,-376142789.6990982166765189869,-376499085.4301958714894063621,-376145270.8075691820588460841,-376157201.1596491183828386193,-376154337.8220450148076877298,-376148729.2907328091690221096,-376142734.1276813835111458651,-376142725.7777566310849968744,-376491392.0405885488002114700,-376125079.7374613822391988207,-376136644.8050170594281699370,-376136573.1628370310311603788,-376144350.7672002232958517265,-376150990.7179140811779521375,-376149003.8815163109408296069,-376148881.2340832115844363566,-376136309.6932157550416156860,-376146912.1912199425860499612,-376138332.5036415269110728525,-376125331.2702451818260710615,-376142754.7694970074337329949,-376142739.0235886229108914004,-376142747.8817478702090058912,-376142677.4842901547295470532,-376142745.4895538624171756863,-376159109.2884007704005655150,-376156947.2499507761957966988
8,-4229.889000045629465208123792,-2.764217299185420462286750251,-11295.84433667388285118493126,-9903.104240322966941270778086,-11295.33395818487572785934043,-3771.192442316271160994290840,-1298.928808214308955595663108,-11284.56691706650909941524702,-11309.72687461941554561427385,-400.4533200633135915245938452,-1206.097069302015735635854038,-3675.085424104980192303217864,-1249.812756116024341672262568,-3702.010799641242066017026244,-1337.695961507563212785350914,-1289.642161107963545261851225,-1234.757720326133704319963788,-1234.926625738927063253004954,-126.9663716367890571495975572,-132.4239536958875615858940210,-2296.366475627320963873446979,-3182513070.706210271317113802,-762.7920227950167733206406540,-109.8220091518902686059541992,-1484.533630041725401739171242,-13089.67027429419537695340209,-5.166178286993716155120616311,-1375.202531151728829834016967,-1991.642513303666846800376970,-7326.259324309800056127956526,-2317.906913672979256343384539,-2311.129271892272993335239768,-11309.74086934030094307010725,-9785.755530899977369508611528,-31.34437166465477884177555794,-0.071256165201662885582380781,-28.29006822872969857927472471,-10.01017843880073389369683356,-9920.014283849225822998245720,-4469.019158809847676646198829,-1996.552303559733119450814378,-6010.802187417213251857836114,-3874.496885241171111232421633,-2276.666351175312669779563490,-3985.450961157727225386610511,-3854.164982362412197979448135,-3832.835293519530971883771166,-2332.885334363370127069455955,-3970.870003428290585248265073,-1998.694009717707827451855113,-1984.695873250665058013272196
9,-3921.691937224336871473777519,-7163.552913023406833328096792,-41637.12571887732658016123512,-851.8203433410061769758140905,-41636.16503155006672969836144,-10.50247626854499788582144230,-493.7801300505870911030462445,-41575.58174837825755414221157,-41636.62837084154338487082557,-1.798534217869693934034064580,-5.876025684693784122976280560,-1121.870021160621540718773004,-20.16763569722476989626861351,-693.8901360940101646234484937,-576.4426801354114222457372117,-4.174739893253891457978187540,-689.9541515037381476564491999,-690.8598776514105919958253571,-3539.863975086374332988860159,-1620.466911314966556916215840,-2.801453004979968120761901192,-3012255265.750049095855152306,-586.5160554834125627662344921,-250.4933556186470624838383984,-1.977515270913500839617782770,-38772.37419883923738616358567,-627.0964125683934469723341677,-643.5168614798760265556732707,-1474.407755534394211796727050,-1427.582011229237119252990268,-2.996404093215515430099768380,-4.312839534015006195223603990,-41637.11788828339747446779233,-795.5469489988576234207946407,-552.9436323922198001655104278,-594.6374346020090112933034597,-559.0863646873714210447303873,-988.6933968288653898052388475,-5943.798117947715227826721418,-6023.681149094679213006762297,-461.5608201923979564218383841,-4.174739848249715364987507260,-1771.428575215119681681167504,-0.709806545250794959653029390,-20.12313389099419006149075628,-9.752670706460734035515733970,-13.47607824725606005337169184,-3.067129967949452414376278990,-10.97891492613763837704333931,-13088.23964615711808646509036,-11505.48862600494165225040731
