,D-Alt(a1-3),D-Fuc(a1-6),Fuc(a1-6),Gal(b1-4),Glc(a1-3),GlcA(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(b1-2),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),Gul(b1-4),Man(a1-2),Man(a1-3),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),Neu5Ac(a2-3),Neu5Gc(a2-3)
0,-796.0470000407191611118796200,-1135.114125204676248336112712,-1135.329132424674049267918581,-251.9644902490136709308225409,-1.34968356155907469282946758,-250.9314269457606537699334327,-33999.76738072466799286102386,-213.9056764475940366117485331,-18.03212325763517145141643290,-454.9239928012746401040726178,-1597.758901486184998734425858,-216.1463000150123674398793225,-511.4686350088995295297199129,-290.8683691778807536231227322,-0.300189730719114297891210046,-902.8664258581964784692563794,-1135.055462855366401035153157,-903.6131600763383167182994647,-677.4886137055817174167792230,-632.2362202680976571083829980,-467.6649040036552347214170778,-249.1604022898750433011093117,-250.6832148516067686750991687
1,-2705.313876460778819185389626,-4027.249612000042370361051861,-4026.193393596457284330038894,-1288.152735553235466406276527,-1458.726775877992917505929921,-1280.573322100904101446279250,0E-26,-2091.912150612526282671460838,-1490.259767986664889090015001,-2056.224206090577862656752684,-4997.941116659934170209069943,-2740.172549445597539296969184,-1875.522664031344630357814832,-1264.439050694550960941146528,-1369.633945655297328662561347,-2287.852781821277777932598122,-1330.582169492063290875636218,-2424.744057075172392156818647,-2249.893702041014077169334490,-2489.599819397642121210579811,-2073.211046098323404049751806,-1277.914106839940360789773114,-1278.346070628201866901572016
2,-415.1059512302335096990331349,-168.7151162051061335289607910,-168.1384848523187220829107910,-420.7761857845808243611724775,-455.6933315886793110245059672,-238.3244801195282749600631789,-14851.42791716472135110084954,-28.30008135008858425739415106,-9.787929477052150957397532842,-186.4285196160186718397990070,-59.57942784657364192346079100,-0.00005612656071077494717503202,-148.7676957236171085801573525,-697.6883502518642251940895635,-31.82582567275618373342450900,-503.5618551877571468957059868,-992.9398581223597112860131890,-1132.523099172204855690923127,-655.7226129712514460697362366,-87.36686391608136684508412138,-186.6156595883948863488079666,-208.8176282188945101529974237,-214.3860554409477137975372533
3,-1132.045224314431342114746043,-178.5471172489904949923901973,-177.6880282274000330239341310,-199.2114686711119858742476407,-4.67787650437090707921676940,-578.2684528793692109892220633,-47766.36268131083010605376593,-354.5791148486767077029520110,-18.37109736733096665290638660,-954.8368644944294389563524810,-828.9411409245216384142172490,-405.0951852309906447879824008,-1037.114972386779508515107626,-208.9359797725515441183065563,-0.009342252539294187426486185,-1026.461634633652907589569857,-1039.970464178103268258533372,-962.9872937074166426246137604,-721.4565646879095573646161935,-881.1137287148191315198356506,-1011.120338433194640593956061,-579.4700096023172835625463432,-478.3972097089030897209772470
4,-1103.470440199513551346451704,-1298.192710122380071365903925,-1297.432454977495764729552518,-0.00004140676449061862700000,-270.7427270899321075144553450,-124.1020109146742983796357644,-27612.99866199342007313980028,-197.8351198665436782175549512,-165.1309869714254616204827324,-214.5765333011588619030529784,-1149.380836405104352454542937,-1015.286014204463384203620160,-161.4657127141603336092873844,-50.44843316621429727165075403,-130.0411591649579531992013136,-1075.837446156442750658853282,-10.09208700029752149693195042,-347.7294740951632964920163064,-130.3741613929886808805983878,-1157.515006945782584673491089,-219.5685839379003695573862106,-115.2422145727982687126435244,-116.4756798817191266407428942
5,-841.6300240873330123870166000,-1422.900129400368043484359368,-1423.706491576872012777040336,-324.4774147982229923335042521,-319.0572361181865303027801808,-2.473227155210554838385682114,-13044.74349136082131911649135,-43.12702748272608381108900128,-55.51777317777271509614298224,-2.62326696655990294273338611,-1648.070833790971686301225938,-321.6684866289133973424426716,-50.36293106306096716500584962,-833.3437002688552196859996391,-263.8303725468380251495745875,-918.5068910610698207664440995,-52.2845252452659785646477059,-866.5598371882153085502994187,-671.6044445860942766646969504,-451.0009412162077674519011708,-14.92988185429849146917464511,-0.68146902995996558885684502,-1.08693484097752411015133328
6,-730.5324452386908779691029348,-1304.928849738153919635520767,-1301.673973525349337113246481,-54.29613504585975047801034113,-417.7283821032662468062640322,-85.09433110903874682357330123,-20223.31271245191757948317897,-14.15317060079533126962832588,-17.73610020530438356924718791,-48.28296837290094073280647047,-1668.916078129604898372995604,-184.2920589661500967763330566,-1.25934551733641523741855533,-20.96719627115346722085911469,-166.3898966558900149023647459,-786.1832348041405580973696872,-1018.962345562338658510107386,-2.636437419719233626449005952,-0.439212842383009841696529877,-240.6298033513258370368440166,-45.98208397486719609834566426,-57.62440531797898577078821598,-59.11012464313839614311004046
7,-458.0902423858906968006097192,-1023.722808087803472097750126,-1023.340953739404723663689427,-217.3484336542608534008722003,-342.4384107259751020799667484,-18.84513270811484075615479104,-36056.76523369905913712016634,-15.91234364178854594937431781,-21.52117941265427585878263021,-0.63005981609703915848051155,-1187.937506816537177820869020,-218.9013424150955797498183118,-22.48813723811912970827752468,-795.8094069414720501089888300,-140.9498168937849669230007150,-527.7703743942445931634374662,-22.88473658241021204528291351,-1120.398552231741159912721137,-664.4611921234665311169269786,-103.4841137773747689188401905,-0.76050083142322843550165885,-12.47825676030830880801131490,-12.46658073243313112406245275
8,-3310.617087017396755259513110,-4513.480034055659469450063438,-4515.705358762110601229694300,-2657.657507893909458452327103,-2383.192929863400872255344568,-2547.413369043641686417529706,0E-26,-3063.656126167350991997019182,-2284.878173558329108138882191,-3316.738732634973987586967218,-5643.508238366583016542763048,-2869.702571523421360767386577,-3120.751543498740986798445168,-2711.045614453780425027981028,-2291.805566718177110714332085,-2888.700801237230116216951013,-3305.243247934390867265016296,-3942.147243963761701301096411,-3739.582682498297846402094827,-3070.812780705731882535468420,-3329.663893667895508195456502,-2539.629067117659244156508284,-2540.933851037451126670190600
9,-1400.294690257927685132693565,-2852.422545654894954524364597,-2852.024092001246178930313177,-7.98058367297730700000000000,-361.5860717515792185862674086,-49.02774638532823723169850755,-17177.68071964764571508522945,-120.7045763597523507540728703,-80.23522177539221396981506170,-138.6525402276971195209804912,-2677.760786981900786357134411,-1280.729705738541884468520952,-78.21359860841846500356423288,-127.2296029662357191447003459,-223.4833197527713698066066065,-1502.405338588494139002822787,-0.000342098233825616193458219,-402.4766568845523774599536909,-205.5291844310781526735463037,-1095.329146294428265538403862,-148.7423469137537812093051580,-45.82196269474253059407623167,-46.94056978366222748470981108
10,-1951.440450285813071758255772,-3047.397262836458380295884746,-3045.976055060139868857886141,-4.892086735696330E-12,-225.8873684685287446377564703,-203.8317131789977446704468902,-4303.131666054292201755446561,-382.8253476968312351679225175,-306.0968921885861750755723959,-426.8693969593561818427550178,-3057.225664853659401822119698,-1769.447331097539687495323759,-302.7329990336546275824656459,-26.04366886161989609784252361,-97.78102587440196993419073336,-1856.507528641179163301421907,-34.22547228047234701504059191,-373.1331995200739130400584220,-179.5437194801094006145714494,-1512.714387195270551622710652,-471.8200519460873714878588410,-210.1820694700721185845547538,-217.4019058214968612290989179
11,-839.1908919694334637928007059,-7.98016894767201615000000000,-6.58135080495375940842854390,-520.5208137705161701758117455,-307.5364678618917229917202623,-891.3223795348753348500777673,-11890.76955769904301804822180,-427.6406307538729374422560576,-325.0928178109796668213900874,-1029.212128924196477986687424,-7.48519615888261746919259737,-0.002292115392889414101520070,-1239.314524501283327270568420,-780.7129737281551461732142579,-271.6938254995617392840611367,-825.2392439095329757141948464,-1569.470975595169277011399904,-1644.765886188293016437306812,-1395.112970382707115407915428,-511.9990789373922735335269058,-1083.825428496052352849351188,-889.3986400754544466425431773,-788.8187831652724205915520870
12,-452.5876839644317936984044925,-322.0661310451083451469175828,-321.4158311961101429128515056,-290.4998955488865100896238503,-556.1961793822424487313778472,-117.1343139743040574378898874,-16392.52837973459271779466948,-2.329777732362857797799378156,-0.106224855009488067939675070,-49.02284684417632204542652943,-590.1524302196772284898216588,-9.890593588756498781134833703,-5.683517116103619959499733633,-794.2765799092926053009139690,-31.44281848344408198864788200,-537.8317068952103604545691250,-946.3620858328451802014694896,-1130.395148417734213073822428,-591.7659220291893689779442663,-11.73962351190063851285166870,-45.96142287245699627626471099,-75.50811702472177170098492436,-92.09742944204183480540624870
13,-402.0677968531661067519568862,-241.7148442170515245226415036,-243.5351402784502124228600914,-291.4953481985872927770729116,-282.1541624455445725221370876,-103.3055211480011930934101272,-9970.611812026233615354463197,-1.70580897271153390100965025,-2.57493431146575262973507961,-54.30109249750128370875384755,-250.4643971800977451954566618,-0.29811764248985066857324965,-21.86887188256711226108748594,-464.2826646543204534238468918,-13.25085537643013947471061272,-535.3178842485305199579111970,-1062.263175494748882611544811,-897.0676825051772497785599142,-590.3444536338598745163444222,-108.2242508710970723149200288,-52.37904564083103954098164646,-77.20778314374496191927010425,-81.04443278514518190928826934
14,-1267.270710909454397777246509,-1.793072947343968107800000000,-0.406817474314210950037779070,-933.1275040780540040653557356,-928.2205015674753632199653547,-608.1403240633327453452548839,-42739.21262991930181104288991,-787.5693620226638482009472159,-615.3466643352781680901035074,-825.9465350329360177883500861,-1.795051135057851773398267259,-6.396461884431209356165010480,-833.4330795200416514459020210,-1088.096447747817314899571098,-715.5891369254975843638572058,-1159.788489329305230815459546,-1139.966354684272028660669528,-2005.223508355753847552576740,-1632.473100073319079437435722,-947.5805906734339003932581348,-836.6259081731736847927379293,-603.0621846316006052726950232,-606.3636485215374433909825511
15,-1655.508095685080039753532801,-1022.757704023682612753911843,-1021.040445560559108222350298,-0.188664474406028520000000000,-226.0536349470650568374818007,-269.2967907324032769074271912,-80766.47931956945886312303501,-345.0258077848921539290106107,-263.9014406407320225656256559,-436.6561914438015652181636178,-1242.429910347290918406427588,-744.3333962393581610592999212,-261.3960087565369415930568585,-1.760634690976870987479031165,-85.05730813028070506375365781,-1681.850919804844444044222685,-725.3375044378925698936774715,-178.6282994706452852201986752,-55.27174246262092645810073523,-1246.503328095454586680240244,-579.8519320147735129037728711,-274.9037457602511555280784091,-283.8928469045245582828061719
16,-2.48490664978801870000000000,-732.4255332095575708105168799,-734.3489244547858711659139227,-2371.458510561143308422995150,-2615.251786206936824010776489,-2235.266261454977326568764746,-62486.09003133343959961123862,-2083.214698535591386956072824,-495.7574186265246231906624876,-2560.651856777942656082751482,-712.3011395810551359523699605,-2.48490664978803736626101533,-2471.491254044232654456609140,-2500.237760400683497245316427,-1722.353005155821371523834130,-0.182321556793949125350039074,-2173.750171435835790195151591,-3598.775782566778668212680238,-2445.772287786209891338495507,-979.3513409047031825874718924,-2564.000953176743616259401519,-2212.955337227219894018341460,-2213.457233774780023573044608
