,AllNAc(b1-6),D-Alt(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-6),Fuc(b1-6),Gal(a1-3),Gal(b1-3),Gal(b1-4),Gal3S(b1-4),GalNAc(b1-4),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(b1-2),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),Gul(b1-4),Kdn(a2-3),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Xyl(b1-2),Xylf(b1-2)
0,-38129.94723499710527440606693,-1986.954105445635395080889113,-564754.9791947660737360117015,-564753.9345554227268864266524,-16289.63118799961635834930132,-2797.285911731856987564524559,-560165.7819214011250183471563,-564759.1727876826271327911705,-15137.34236473888866264610079,-2348.171145793887934682455508,-2776.052691254952689055499404,-19582.62877032735135384805647,-77143.43424323731261287349560,-4399.827309019684391669284342,-2255.094566640973475303198948,-15126.10089417145234350299308,-1047611394993.097472030792060,-17175.43022510180467513615792,-553.6178879611563100600000000,-31079.05009149202467941874760,-464801.2645604082495064809172,-75.54053835807085352339000003,-3909.805875987458291419882836,-38919.42668177722833841171242,-15113.46911905424264907431172,-67132.82087267680107021401917,-957.5958287417652093671337206,-51.02120694348631027305799124,-47425.78453638205381834278248,-0.5962894901566966519500306626,-132497.3486022349379647395693,-33028.20993681346474564657091,-17955.51770374747079835563833,-36747.65262851160203407423861,-36676.37293800464802146553798,-15175.51869903595229287355990,-16283.82740932422497532325872,-16305.84902182942891511017438,-15167.66541967011403903100630,-16292.67303975233765563279724,-1.49354953659314195988920985,-1.4935495365931414937553951
1,-36143.55944279296143388899505,-2096.983691232435652218531407,-603185.3956737559650709108658,-603184.2745530833817251795163,-15399.78605802924052271538224,-2382.116279980208706134236113,-588525.9935994681739682477941,-603189.2547675374993193093109,-14270.51474361210987873923726,-2035.680005454990319800106727,-2370.326573597768517915031563,-13535.27958571563344149435638,-74888.50208807143455013972079,-2900.616896666094692734617772,-1556.438740425322184421637682,-14260.53892850187639276100030,-139215267374.3301829441336063,-29509.94270229913967371678879,-201.4009439556558600000000000,-29765.22247077664118645333974,-493284.8914248220806723691881,-484.4267950934179707594102759,-8147.849664844491331246534616,-35491.20887100062704033507432,-14250.65118018809192556523833,-59237.04617224552754666275808,-558.6934298126908737996115914,-504.7657312042672440820971376,-52871.74440378052359422591060,-7.686829322830E-15,-100826.5476507418520816721316,-31261.58486728803462349703260,-17071.68278189433396337641452,-47098.70821837499296857335632,-50428.45428330742669802816533,-13033.23136117001393001826640,-15392.90849293464064836600061,-15482.62070168089618575389135,-14300.44275390993881642625830,-15401.39913953474849988051777,-566.6872133822099684755468397,-561.9308138975699598829980382
2,-10712.96449970923054263651316,-215.3319372530430313000000000,-295203.7645808425536321184887,-295204.2584280448654574520039,-14199.61104546033981125329193,-1836.308435140429573009653658,-295201.6222266388678800160855,-295208.0011336071993220340545,-13618.37228958117169816917583,-1812.240137813853000865201690,-1460.427469238322292276423856,-1475.426382267480038202472626,-83146.21650998074323108213813,-3.17538968596105988042916312,-1.988852988607918577305927128,-13607.32829765325979342516013,-550255382925.2867633901615147,-13240.29657249743871608820939,-281.2940944374863907381761069,-24098.38417002487418037697162,-214017.8973960979768481321134,-63.7160022359839221110522154,-275.9250024418231226247397109,-22152.36779793921278451532300,-13601.79643741268655578319605,-47818.50752378460635062705960,-0.19678175611262533459770380,-222.0512380043198564070799791,-95213.50329806739507842744395,-4351.658686280269907673579667,-50723.72312306865312929274448,-36384.71931365995908648658890,-10931.88864474015310117270050,-28261.13392502771794373183261,-34178.03571652247271685105413,-12706.69791428947581079951489,-14191.32277456581029854819710,-14557.69506629130702618252133,-13631.97285977696457617198949,-14201.75157363257762360406415,-203468.3046363822056592687217,-203492.2654343128992016086494
3,-3.45314314427803310000000000,-37874.98859201262828806224803,-320979.2318874557718845671143,-320978.9297813315438394411817,-18509.37164236598172025461468,-2565.427447715667670039572791,-320972.6261320768798982262359,-320980.6029071155184389685899,-24198.08399689690694104669994,-1720.559228780300469616083325,-2519.706377478405602612583206,-11402.54735190733080383237257,-95551.56082495923271572733461,-4587.581270907716494766253119,-1886.977442363984209312507461,-18452.81576590714596488843881,-129371364238.2802242828127045,-3.46153515732190890201104714,-0.477209820280240081462092159,-18491.30829372279364797870588,-271928.0834107197134986201183,-181.8903460804511802019829514,-1.15055805128398725000000000,-33727.05762567435635909308834,-24180.77989678543728341935433,-28583.18365425208711206826323,-511.5997606481729364373568999,-11641.78159503262978797994902,-584.9210042645275329000000000,-4952.354435919708707080587308,-124873.0178530011527583584925,-69761.06430742389574630538078,-479.8609366328903187102200001,-25833.68214538056539696682503,-506.2015576577794452000000001,-18526.35717527856098468794942,-18497.25813471209876483645772,-18911.85853277100661016406144,-18506.21898620340995027097783,-18508.55716507980438439069974,-220620.5337740916669433344121,-220806.6936029180802748658825
4,-310223.5434317383193272632905,-244529.0321029749684481965895,-893373.0655486216766419644813,-893373.5641950271456852824656,-18416.42606474528863068515497,-2.93834904242415215900000000,-878758.9603706969341853324495,-893379.0994772498216482296233,-18929.75758869280669239997271,-3.13878222581179785927802834,-0.150385956701585365381234925,-3.42646430627011897528822493,-120321.5913798245004391364853,-13371.31351546597528309487847,-5547.206239192391037443951695,-18412.40449350801341039899759,-252699015041.8181115427633563,-264462.2888406862560074120384,-16070.14398328235195906511971,-209751.5250985040780878138915,-892101.2289574934655250548127,-16787.99514539057065913483025,-96340.54972884433115325602395,-4.52507672699528637546180003,-19920.44146131774496055952107,-266.5573224649446980510446050,-4697.038418959492759822758854,-64798.60546908358375010231916,-182749.3994197960283757372854,-48568.20919226422537770080926,-148148.2499839851148332130107,-201174.0569131407155391970067,-206304.4571341028531145159293,-277241.3868987603837921710495,-269163.7503693114320413012679,-18354.68547688227569103527775,-18406.30732397204157650444320,-18769.95694740120752268188889,-18661.86150250531456638073172,-18417.17104064233087930381354,-318297.9810741610331200192522,-332868.7624120777986199953535
5,-33077.16429720215399797587045,-172930.4031773944656215159750,-2.300412849111299405000000000,-3.399025137779408882955395075,-25280.74324719482651271271269,-3.466337195538881382955395075,-0.263530921850259813089209855,-3.399025137779408882955395075,-33926.95240861152406155603236,-1703.322133423238413769047368,-1706.239520938865953532796836,-2079.693563768169226822466173,-158962.5598568962298664484423,-18570.54747573373142083028928,-7185.094201804647037333342134,-25255.58146543197784048850792,-298472985846.4596746252392744,-17818.99875120293008680323860,-11128.62735852535016392407131,-25304.72181905991511988432510,-3.399025137779408882955395075,-21019.86732442517020113568077,-17738.71278641725051481523938,-3061.287469293858798360329792,-33903.47046316775151287162867,-21468.61571080691940640379863,-6402.486752051632517476446083,-140716.3791721598936032891158,-185479.3520915059550560502090,-38764.38574183569889225743558,-137577.8785017978392421580547,-72373.56538120706151400386026,-18459.13439384657106835786568,-39734.56442356234753396284474,-18608.71528489652275178026081,-25346.87979401520436499370564,-25269.26734601103308104883534,-25702.74273059545560618478095,-25319.22131704234933968138750,-25280.41657564329962259778364,-349309.2497318001856638832529,-363558.0301811366843483881194
6,-371727.1397338896983211712919,-821844.7145662051132899504597,-2723448.251174367887851809513,-2723341.523353345720371076842,-2.793208009442516440000000000,-96751.31313044300179532254862,-2700241.035497501201542823615,-2723430.661021923844308041681,-3.198673117550657831709496741,-96464.07854281108259584154484,-94112.16888465357706919159138,-104442.7341687202084702401982,-3.891820298110625322044604931,-50196.23028698901406655003255,-36593.57354149763106648100277,-2.793208009442513840000000000,-134516825195.4912092018755699,-97375.26801674093669055616010,-91283.51868046395492894020365,-2.282382385676524562044604931,-2423785.805093608357584602344,-93855.98384883747398781234260,-126673.7332581823475164098905,-125483.5940640831511205395443,-3.891820298110630902044604951,-691184.0532285850203366366850,-36407.66326728883897020300664,-787939.8546102480743164385956,-325553.3487916430261131918522,-137981.1704401312239464295824,-165267.9239077981749678253934,-205364.0241405182951926438509,-95701.84014692197629055461079,-3.891820298110625322044604931,-671177.5454231908154121443097,-1.119231575870845062044604921,-3.198673117550678162044604932,-2.100060828882577050000000031,-2.100060828882580892044604921,-2.793208009442512862044604929,-308817.1662003304996689278532,-319320.0471292243434248400517
7,-42277.13995782708047552431827,-4081.197126411120590986742893,-593409.5016437795458625469553,-593409.2211442892347740992104,-13610.41093528977717707922518,-3004.856230575362200325505300,-583532.7814411448721866843599,-593415.3326651513501496931355,-12808.13627767204604324062258,-2319.847563423134021702932441,-1335.435061301552109051154085,-1478.476760529377727549893286,-73675.74752561243034519556262,-2.555732560756570226248830581,-28.26964931791140209592087946,-12803.07154998160219170435345,-59039452613.64897491664179933,-73506.74188667080357365947663,-3221.492001783428945624797535,-24549.67256011298701148591726,-474786.9087384384067113759997,-4317.938170511265155262655280,-13644.15693450613420158589818,-21988.46710187845812062538296,-12796.40274737074122265028330,-53133.67139080362364827141574,-39.89718878387536216362645341,-3535.085420990980727023502758,-158707.7637231716722291099319,-1797.640550325872295567780459,-301.1818888585793505716016655,-29388.16077494815805677390825,-14990.92541756500624105228192,-95002.54141783595438727332893,-85158.55633713255079094032969,-0.080814622371150593646270441,-13605.31518886983850611037448,-13939.74239219495486982690617,-12826.08128977951252315191352,-13614.44656240426823483847826,-105726.3305182639190007602974,-105726.9530453438770260893575
8,-52541.42720950779006528007271,-1011.301553987794359042624835,-665342.3457781859412977000971,-665341.6046346374865987912375,-22555.39797432131414333149418,-8785.511088592748186546991758,-660960.2402736044050489165309,-665346.1966148646182742166014,-21473.80441694452560008384726,-6890.062173758222471689066879,-6631.219935245200016168136096,-17250.36594021975560604409133,-103297.8220754561723760454495,-10368.32478712544808131528595,-4456.877801973905943766164582,-21466.46502057940634673016443,-276780311157.8695947215312921,-36153.26987675804709933951337,-2606.383951725729909199871664,-34865.49658776418030523523780,-551787.4684801245321949118455,-2.745921496390959000000000000,-20020.98410371081189700966837,-38142.97196765976347012829938,-21457.63888156588348817787835,-51764.51233385915465216198405,-206.5868953610359570706302569,-0.066341878088263976609150000,-65318.86463697078980608869109,-46.40920991327652874130966763,-191013.3924447107947508316832,-39240.77159126242333847485825,-16857.52906977937881931625724,-60392.43113800219406146605065,-51655.26537763142577367712218,-21290.56069894410257275302946,-22548.87440401461574903242942,-22578.47189489027828146638255,-21492.74783976517015946725763,-22556.59335277694642034704718,-7204.505300692017658427276608,-7201.333404169492793925895817
9,-218636.0783745557329572058568,-122399.2478566043372589604214,-1198542.115678272566494935566,-1198539.841336427356791335286,-20261.89712757580775266051464,-7213.062929267401395728482787,-1168957.948587533538022292029,-1198545.048966982899217527470,-20858.41208677788562762609880,-1467.341634053476951747571302,-739.4284447013724948224563844,-7200.985499046372024973357249,-130672.4688157882203590858764,-52111.55068017670645209483634,-26497.44806048661035611895390,-20257.23092616348787424809493,-566203410644.2446292353749844,-148532.0685628991273791064997,-72212.74832703098561670499402,-36662.99523187872094125479888,-1090466.430905263481846334480,-75944.48007848304718545723233,-89203.51736572361312021317332,-35029.95148682048699583999275,-21890.62991190443784264293292,-56890.74634223955210367852686,-22450.47908807428241948210718,-120687.6990451606487318062946,-218391.5742183698934521903538,-68786.19480875528263839686318,-3.33220451017521140000000000,-0.036367644170874766162936045,-88611.24531062754662018607525,-106912.3025821638931853654354,-235289.2299366718981707189020,-20229.63178349750617842171663,-20247.20585545501112375801869,-20618.59089582792559094289602,-20512.80453383643594248843776,-20259.86105982847668604004911,-399495.2421978777120182606556,-414074.7967207596929289909987
