,ManNAc(b1-3),Gal(b1-3/4),Fuc(b1-6),GlcNAc,Fuc(a1-3),Man(b1-3/4),GlcNAc(b1-6),Neu5Gc(a2-3),Gal3S(b1-4),ManNAc(b1-2),Fuc(a1-2),GalNAc3/4S(b1-4),GlcNAc(b1-3/4),GlcA(b1-3),Gal(a1-3),D-Alt(a1-3),ManNAc6S(b1-2),L-6dTal(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),Neu5Ac(a2-6),GlcNAc(a1-2),Glc(a1-3),GalNAc(b1-4),GlcNAc(b1-4),GalNAc(b1-2),GlcNAc6S(b1-2),GalNAc3S(b1-4),Fuc(a1-6),Man(a1-6),Neu5Ac9Ac(a2-6),Neu5Ac(a2-3/6),D-Fuc(b1-6),Man(a1-2),Gul(b1-4),Man(a1-3/6),Neu5Ac(a2-3),Neu5Gc(a2-6),Gal(b1-3),Xyl(b1-2),AllNAc(b1-6),Glc(a1-2),Kdn(a2-3),Gal(b1-4),Kdn(a2-6),Man(b1-4),Man(a1-3),GlcNAc(b1-2),GlcNAc(b1-3),L-6dGul(a1-6),Xylf(b1-2)
0,-49.82951517175994763895823646,-55.66990123233687452928972448,-74.06640684905695881504403278,-105.2300269246388526103812481,-31.79919167674614256842934684,-84.09287001507730433254322360,-67.96398512454987549644444372,-28.67901008593609863840597872,-34.88941329677744111773405928,-39.92006744027617392659487640,-30.70636348196570372226235962,-32.72230910059592478564934834,-80.06629891560948975215153916,-30.86515351350144687811209534,-12.24517403006340406197391866,-4.843436525126245209901513135,-52.25797323432115932905623970,-36.90009306129744828289287414,-74.15898911224815302051644928,-58.93345109591180222199836430,-29.65108686496264762395018296,-42.19073468701357803524232010,-33.34109252110540025133156752,-34.24777944367682270215826218,-2.659717696219551046551302807,-64.19803631230052326724251198,-61.45137084336962372324971460,-33.63993782521053905078707904,-70.82942833090972175231915822,-8.856201099138927012048406968,-34.37419034453191599001022200,-31.80575371695449041728588612,-74.72986763185545785072205740,-3.235833214663721490291644475,-38.71881873911390388398621648,-3.270573652462917142844202175,-11.38414279467763996228094766,-30.23056338925362922732841384,-34.16247171083735841404903962,-63.54247906624189442681286144,-91.65484544295077386258997694,-36.04050983831317600830562122,-29.60229240205276169725278030,-32.15061847386147650153606126,-28.47773916387100421272359742,-65.61424367368012818350278124,-0.168795800942023693335941718,-31.29189645493729667854371134,-37.98853876471005437878178338,-74.11376274416967911971464734,-62.70119797641575132163477726
1,-52.86681420594618641277897786,-47.87109423743790823948629689,-5.059163245354034235890854962,-954.6026510095265612559578686,-4.014552730640367481118388529,-5.059163114338584343028328620,-64.96979305838231003696475719,-25.66022416505457172693896114,-12.19975406119180475978468475,-59.95712904651576657536017653,-27.21548770223359142229910392,-34.21257857345854362043816513,-40.10269368879299069629499275,-27.58276125367123900493244051,-25.80972968224409558688126920,-79.36330983800640173068118619,-94.26583715469059818210029925,-51.83297211894800792659814466,-5.059163407353051506114119260,-3.449725358615547354981923428,-26.64349410479852728474737951,-48.51614712441526783935685019,-26.49306980397432038279966876,-37.02855187097533957777548895,-34.52256673946451312447536654,-73.07014591758901190686276090,-61.29255876444350839885514460,-34.80211744792805165846022739,-1.297967228942518009974628480,-36.29381166050841272367319874,-30.23149064040772239198034855,-28.08130016184706489055074043,-3.960550851255280356763922378,-25.77032830825438214941419108,-5.544146988567598196286076180,-49.65826756423176037389114235,-24.07704534797510907326394613,-31.62740766404842031767979814,-26.92811835857978724006041494,-85.40570708425721777268154775,-90.12588099898810179068236695,-27.65083431713398822260880861,-27.98425989588982982717278598,-14.50286778837133225631519671,-25.88496664970073597788463395,-0.464043264009550348311631742,-52.61976995396854783183419556,-47.15896399302436221070822957,-34.97808080861962984126758031,-5.059163208178084547960005420,-78.11269455183326491575672824
2,-27.98286264280213797451281851,-61.20718550612091719593143003,-70.52683842081734690270307537,-379.4766092852636544243526486,-30.76261827156817257176732928,-91.02696952051208423243419389,-1.573623937092833522600124776,-26.98689664299844917767877779,-36.57051983380757652103152264,-3.199182885289693229207891526,-30.69354113917408199189712311,-25.62472856039935020854494634,-83.67156506108841468205143048,-29.19371285240798245160699083,-4.966572604845582691217725806,-22.61380797766532118747735499,-4.789465861396261652935900556,-4.790363579491849481453643576,-69.55079969989428508920111456,-64.35923060441164497098920897,-28.11072990505858020113084432,-6.481359450708388604524216486,-29.57271645938446588783670565,-37.57046607667759194226012895,-8.468886878899599042348420489,-4.826803536651828003045813146,-33.93293200793355470336673453,-43.20864510230940655266728243,-61.90608522675946974951305578,-13.02256614594824321787831955,-33.77460376332129609739821336,-30.95241065275869578099776962,-69.39553108516500775274069769,-4.712065683402725380898533546,-41.49850004744244450659253020,-7.804560340473999344804236572,-18.20505914463228413863866119,-28.79478274357437834698732733,-24.65607122212633558050120582,-113.9046827430094793112737343,-4.097610375812265675621837266,-23.86498791825197097729633705,-30.57277522390731163399714823,-17.95276723962510821853752938,-25.60909681182445304544669877,-79.91072466758009711766280490,-4.584397800495955505776621322,-0.382663587085489896150742018,-8.098484036476016208453012976,-69.66084658617927055533400393,-92.06482164904551442741811269
3,-36.10979446826322950684013948,-47.70185444622188271256814510,-100.5186751162725386728894819,-743.4296627167878578083845015,-39.85687707103256280394623039,-52.08796562527994881265774105,-39.19742564022830318960613289,-15.70173989426474095791972148,-36.23095881989298652760066312,-34.14048928099505897120988452,-18.18336273983416381177580302,-23.67464033560085320788223007,-119.9166574977759065624204859,-16.81127783519726120801241106,-14.25402225924369585938504976,-24.22443219377306634954647069,-59.58792425516189503413840998,-36.71103423544339917695516850,-99.58878361305526073785820286,-56.84947078876441286060225196,-16.15577127473072901944391302,-23.26397321776457265110005553,-18.62648273640493983288507451,-26.96271944615720148066146328,-11.43011098284133158986645668,-35.66492893472926156149539612,-37.96234876496421134739371083,-31.10565991629078948289532030,-94.09348336069004610607804126,-0.090810724741089205947900673,-18.28752407661809193239045208,-16.65601243413522545466877354,-99.01123178690587699989811386,-8.770060815139818432793128641,-38.31420005780282525876665005,-3.039312660198560234895102301,-16.00161742607601513398731402,-16.97386596046902799845343724,-18.84612057629343782268515812,-4.159049260517585409549693441,-57.66650080300153782748653559,-18.94607552206969132528259254,-17.20601398303932007361900392,-4.905437958963978388420813065,-15.27780292826334987514006746,-45.32519387964988422662707094,-9.003134536705554597808673361,-22.20497922714891267692235113,-18.70450063663568987069084551,-101.4828421898844503524634775,-4.159049260517607155511666881
4,-36.54915592484500406993097489,-4.331766314893956557300613572,-99.41921493286347520813925440,-737.0661920102645180766279474,-3.742604890422130787746724975,-27.33012947558169357003890653,-41.55136921367373741956398735,-23.77686948105323072976335930,-4.020210947034633678278469492,-49.69215997220171001549060289,-24.86487438143507334706164703,-7.731016337163956652720317522,-95.21694390843244018615267590,-24.54560886270706511301869595,-18.13404726829327430992762925,-65.11200176418848313756885148,-65.19628404873549729410558677,-12.13796509707916654357436332,-98.85475102056855668136700260,-8.480487068627995983280719032,-24.67324326817548101680582988,-48.27660896432944104008668540,-7.545855294298034724220510552,-3.773102317114272774191374292,-35.73913303312249419232559040,-49.94988139479345321438960748,-56.56490049462256295158778147,-9.762241683835325143828872952,-91.58079544948026834940053390,-27.60522907474076122499949268,-30.40474279506101495015263892,-25.98971459397287222456819354,-99.93674228335041313054327770,-8.688246141615656296840440722,-7.179847190741581861897292822,-40.15855622041744466056880414,-16.04256833052149333096379225,-25.88951327643818069608061125,-3.603268133930907341505763092,-69.72428394066751785313997869,-49.90432758434976913098356144,-13.75975393860005513188242451,-25.68118262624243064710699506,-0.113359367675373548086645922,-23.23331280781644941270725433,-25.82111835039400339176773454,-23.57631649106865162723620484,-30.07323521306527028173515094,-27.01913723906769479096863890,-99.10064819705531424577061000,-65.17635660338557049305893560
5,-80.53690522212949314107168572,-79.91188567612541828234496106,-20.48629871719861952749419086,-94.66508785453990857401215926,-4.493459216289535226243522705,-83.85110522589612766924259922,-48.11670458281200636864618726,-68.62650701299330060359513326,-33.83252985043210812396994004,-20.11633211576501357691022010,-71.42383082871177213796547928,-56.90300889115763025551825614,-4.639902497159357631995992295,-72.23149157223627312940681386,-19.04864624023991034165860584,-29.34734385633899347238268492,-28.88637164178678335792032070,-26.28836153589809074186463354,-19.68225108414711772412949802,-18.69801368676022302779038786,-71.87491721267882756056397220,-22.57436141700797232267362846,-31.05078026090448979501956822,-53.88825944467445306873808132,-0.021062887055537766935825500,-52.72052729009452354361484216,-25.96409186403913625006591790,-56.68165972885671281811241476,-13.25189455457297596026261028,-23.32958262923552099045276474,-77.20680710790864743565394124,-72.84430425885008644464002578,-21.01462252657980029579827314,-17.29139853598279090223471774,-29.62626006328474981472970172,-38.95822400331751250591546538,-36.32988176475609032942980764,-71.64037590440245116340208350,-43.38985129010254498338665996,-80.17224088365185619257689638,-57.14195703061863216380513870,-65.03702729174530680168948650,-75.74344164741059039244129366,-25.93759953553757571047534940,-68.85896310054978838290122664,-72.57577482952300313002100326,-20.02026704378692938793545556,-15.13446963808221881883953380,-52.36684534422037304358701110,-20.81941283445354935953188642,-78.60159472836385462706689760
6,-4.723990152009760018190504915,-25.88252647581906769588737564,-122.8149745477507006359405286,-379.9883477625444394245978118,-25.17487246798311497545871072,-52.90286135257795733902162896,-27.66812667512450392106857926,-2.421594210279002059168066195,-21.08863686918233170143173396,-29.56575120795178557485466654,-3.114707132714581197521121435,-8.274549485875846744846964465,-119.6114720786692708973046894,-3.337773568034731812295007493,-2.406798899620917142701165595,-38.18404300016792521109146174,-41.47784903114265247006672052,-15.44912766986714928532708098,-122.4560119357550665284582237,-34.01993717958823544809549314,-1.951418816620604577584818445,-21.54399806754346984656095490,-7.505641244061298941938459915,-4.725269288787563103100934295,-23.10436399968516454950775698,-21.54861154004275433439530420,-37.43146558073112645126413562,-16.09455860481445466957923828,-107.8310154833712405250963080,-15.00503389986084913834522410,-4.723998255252164443778861985,-3.337713590280289407273673945,-122.0961327148889708316478989,-5.094509718559992326720585875,-22.32624600726751749229676700,-16.88183811837329480840356192,-1.228660511058021002402035955,-3.337949081080357072489627355,-4.858559418381057075163348855,-45.68864763727021257116901890,-36.62975890001010294405030128,-3.843803300564802298684507965,-3.337717655104687957646565595,-4.204726566183289634222313525,-3.338900560872818744302772895,-50.16978079653882433510164942,-15.79085800177519564686819954,-18.36938353408970492396392962,-2.444508179767391041562778575,-122.4914612904064182565367841,-44.81019768103073760453228110
7,-22.86231530354438138385341245,-53.06226214051623593694953425,-48.95852099856469433165325946,-421.0447896453953384261576666,-22.98674591209350789138231189,-84.50013691249626836981762118,-7.304879518761505686748687788,-26.76451577152316783860332937,-35.69547863654036768949426173,-3.594880769394224119328335018,-24.63083764719042260028000237,-29.84993080727130110363750492,-62.62009987673374955929341018,-23.59258797309095839882001388,-13.12844264070977818911955820,-31.60326568631048786857186135,-18.65544699226318981162073897,-16.35880309249186434890700979,-48.68546381656696859760153654,-43.97520708393545400240745506,-23.85977049673455743164512890,-3.689368896869296793228712218,-4.721307916611159360969932528,-36.97127533399108717472143621,-1.148977268271543341745335548,-8.030966910474659698210370648,-4.724625836776961835595529088,-33.76205856536338493715243154,-42.73063038584179453024843889,-7.330998934306538018058342153,-27.67674891563648833873759794,-24.58059806754365256071114888,-48.52013262133161951397947165,-2.150670798229145249909740238,-37.70496659156984927049999838,-10.74411422132181974619815413,-19.40248586164020664524475150,-23.02668428537556788237060659,-25.19725720850955536931238954,-92.02013912953893145702860130,-10.68323522070248345490202000,-19.86517591917333758189177937,-24.03293953080427763866054752,-25.10381594274770755190878207,-21.96239843714116480784548335,-58.16024214869740653371637866,-4.278286859955266870152729373,-0.735767061950531669223014018,-6.376697131164595800391068728,-49.61402581462888681289161502,-85.12815265226804321771299680
8,-133.0015379484612528023725298,-109.5689211837052268677920031,-58.48021998733972770242597120,-2.059260031540625E-12,-42.74443413628223518696316919,-116.7630655930293684469037084,-119.9395282786251849383987683,-94.26551161381681688759439311,-62.83718035759377657160464240,-67.88710129912704525370469371,-96.73112803287857814817320041,-79.22926293556024147465209067,-42.12183785906411148647056354,-97.93353580144555932702924961,-36.25549299222146926895424600,-56.05031441954641325918142506,-84.23588332270805194386933821,-69.80117400329627229960680733,-57.53872696148409626086464392,-57.14122251710133450553475425,-95.63085706982653239990348531,-67.15474967386766875040082479,-83.38093395226144069686419761,-85.49265570647952628052277301,-26.91330737433307159851067428,-132.3412569617393288394853097,-94.36047176217768703169513761,-80.22090596520425664614847643,-53.79080418144690460500459462,-44.05957699020123107285306606,-100.0723667699866472034404544,-95.20510354876600005231074691,-57.81309886192097493846914804,-43.52028502876710371792214992,-58.98630503693639792037627007,-42.45571984426640619178548655,-48.61869845594328457011131680,-96.28872561055245515554580471,-73.33255320858845622988539530,-120.4393274587631376579628743,-142.3557423392724752585682713,-88.73345652877654884068228761,-97.80202403762465997932901701,-58.62240718595138664316834361,-93.68898185727492433592073981,-101.0378478942855422315278457,-33.49314920286814020609500077,-50.50836578941304200148219352,-106.5151233767270660363062851,-57.93126911134250479307498976,-115.7962073422473586155729926
9,-18.14076875805143628927287024,-7.993231628419689161058578906,-68.26936638622443295665913263,-593.0726956143009713755700539,-2.600362448482613012532580176,-32.14282992412353777563104212,-35.25906272049489997592401951,-10.56963730857664476753226482,-5.491727889168723729489019976,-28.22292393329661333158933998,-11.45325918658328959762092360,-3.649426271114210605331134166,-61.37002790457150739489657442,-12.37748940986507669296787333,-8.543846595638614325190998186,-46.06505718961813144331985610,-53.14711002484770386708172849,-13.96594685426905290707382606,-68.19742369692643740811109959,-4.325751908928797707689697226,-12.46919809753837854590057860,-28.24459468405404727799051935,-2.944615082448817819228755306,-4.895793151547190052609362186,-23.08956586085496176001119306,-31.61551808850293212229652177,-25.18379345949003576388573315,-4.302779810049034755200203666,-59.86326602626995396287746205,-19.91049282151566310447021855,-16.07839440727783368603914764,-13.89526609558199673132357011,-67.43286925240005696737832471,-1.723336837303967987287998716,-5.604091745527815370302171826,-28.69051650080862093303998847,-7.580030367562490754552511726,-11.19038832704868232267922782,-2.496792019688379583683100046,-43.11026737343229713373885240,-43.14015782283635234467515899,-4.824268469768882174581479596,-13.64289945879916543499368170,-0.625365173673584835060377606,-9.635219469518043945380733046,-29.65318789919138021504368040,-19.10243362720239713828630191,-24.41497925773457728233922251,-12.87864309384800392182539601,-68.29012592820757482553443819,-42.67442749905631667316735949
