,GlcA6S,GlcN,L-6dTal,Xyl,Fuc,Neu5Ac4Ac,Galf,D-Alt,Tyv,Gal6N,GulNAc,GlcNAc3S,Neu5Ac,6dGul,Neu5Ac4NAc,ManNAc6S,ManNAc3S,L-Gul,Tal,Man6Me,TalNAc,AllNAc,AllA,L-Xyl,Kdn,Xylf,GlcA,GalNAc3S,Man2Me,D-Fuc,Gal4Me,L-6dGul,Man6P,Gal6Me,Man4S,Neu,Gul3Me,ManNAc,Man,GlcNAc6S,Gal6S,Neu5Ac9Ac,Neu5Ac9NAc,Glc,GlcNAc,Ara,Gal3Me,GalNAc3/4S,All,Gal,GalNAc4S,D-6dAlt,L-TalNAc,Neu5Gc,GlcA3S,Gal3S,6dTal,Gul,GalNAc
0,-8.15289504294435234466050,-12.45436572890512824500050,-7.27395389875739449880750,-6.58959349628246029777250,-2.20782042345898878838450,-8.67262637079112483795050,-9.03375292303631895961750,-8.14935208298233475384350,-8.62101273381770434817550,-9.31838553388649414720350,-11.04316486840812012705950,-11.15204603738874812615550,-3.61322717720776212303650,-8.09787937316346852584650,-9.80910220073427473277050,-7.68810088041106726053750,-11.23181078894093061753850,-12.69673457846796167447350,-6.03379463960015720840650,-11.88553257532877722346050,-11.17778339963130324292650,-5.94602269945752809155050,-11.67844494071494610966050,-12.77877929795876134415550,-6.88774573711895534490650,-8.72053260051044933955550,-10.53723028939618186306350,-7.90047334739943302792650,-12.21508722883907407048850,-5.22755920730371389040050,-11.18740779438438338642650,-8.08494270491805385402550,-9.77417961350601736953850,-9.33114752181308776973450,-9.98182412231819521780350,-8.11107840070043126348850,-10.72953709637499581384850,-4.03347496074256967358050,-3.87101020137188256495050,-7.17555961631152227893350,-10.87845816544604075908350,-10.36042831499452793385350,-9.46871580396004920123050,-6.51965022080050783204350,-0.60370444667596613199050,-10.96748880787522547940850,-6.12056956160800565028350,-11.54673024976565550463250,-11.82637731322580953742850,-1.46681884417618361238050,-8.77633189688974747408550,-12.03271096686220489095650,-12.04488764898690436939850,-4.57537224027712721674050,-12.00441911227423572928950,-7.98653398943620622532450,-12.58130867000028690105050,-8.13992889017832920412050,-4.23425100003262971050450
1,-8.33493474617751255387800,-9.69265356073890661176800,-8.38947191086263881888209,-4.82415143138270248779000,-3.29096130920202715753200,-7.36841670979162535866800,-8.12610325388981750533500,-8.17450641042139161145809,-8.64249787004568459389300,-8.59053082213052616452100,-10.04421105938020199797700,-11.12844390429443191396300,-2.27271178143294197439400,-11.25591309907715926069400,-9.93833508695325884348800,-8.55120935013757313914209,-10.49324547447079880534600,-10.49820358648084774119100,-5.34158370704322097432400,-10.92702309864558078071800,-9.95941571210353444044400,-6.51555868123317323961800,-9.80896043306840398797800,-9.48882795643043257187300,-3.72309624663503148202400,-6.34551986132512296227300,-4.93516684912250117878100,-7.67844034825749927584400,-10.41297422331948538220600,-8.67190333395605227846800,-14.31976999479189341390109,-7.46657310820389924855300,-9.85341647244455886825600,-7.92602116356764954405200,-10.08931564497431086752100,-7.93614588360900504280600,-10.43384181224094534056600,-4.63627462673873252556800,-1.02510529584867472439400,-5.63570854850191881996100,-10.50544026037806302380100,-8.03675035455334475457100,-8.81997759039719647794800,-5.57413365007234540126100,-6.07669365298056389187900,-10.90945818465169519592600,-5.78303224298841005700100,-7.69838107207101582165000,-9.56114201861311831687600,-0.91527416721030479108000,-5.82725317401164798790300,-8.84106275741202382567400,-10.12455554246967475824600,-4.91697167485298836115800,-8.94008651074140525100700,-6.24885241934952971404200,-9.35864019077883942676800,-6.70064226254594425429800,-4.49791580421634799813200
2,-8.66125371510096566792700,-10.10967055904216596361700,-7.63984526845724351547079,-7.26269530674493993433900,-3.28438266367922640003100,-8.45439266668048327071700,-10.38196297635961147838400,-9.95422028280700320004679,-8.88206275692976353994200,-10.48142024646201539947000,-9.77560194408175462202600,-11.01857222782115073641200,-3.25869784661834618542300,-9.12300364947381789359300,-10.59055223924148177853700,-8.56260393115625017873079,-10.85496645307759692779500,-11.34350926497952733924000,-6.33941382477507163367300,-11.18352057773534054576700,-12.15670051743542844849300,-5.40183536240709661573700,-11.44009431669629370402700,-12.19528561261532104892200,-5.09158475911593165277300,-7.54379378303439632132200,-7.49842675549520696133000,-8.41131548450167898889300,-10.40871281200456859325500,-6.12673301246594990101700,-8.60216467775252662008979,-8.33636837681831202250200,-9.89440528408012485430500,-8.84272240480113780770100,-9.66673180772236682857000,-9.75916477188036663885500,-10.58825833892863815661500,-4.90802309003879302071700,-2.76892870576963269111300,-7.78837282952569861731000,-12.46841244296103534195000,-9.58904783736761460362000,-9.99113680402737015099700,-6.96788329874001107801000,-0.47531069790314586084900,-13.34028004391205466497500,-7.12396676826366317155000,-9.02216758189636040869900,-9.78533250130482125292500,-1.63422311006345368280700,-7.38408352997149702095200,-9.48370342553484591372300,-13.02753802318064794539500,-4.80417661453305479100700,-10.88162633948214004605600,-6.69352853954728682619100,-10.84732461806227289781700,-7.89128741613332624778700,-5.26751915406344991247100
3,-6.71814075611279756008240,-9.27356969410324194717240,-6.96582001482312977846559,-5.05794469007175845079440,-2.02658677201012404877640,-7.00673265624546663087240,-7.07346334992955231553940,-7.47537199107300400004159,-7.53520827980580305809740,-10.40554335481268009022540,-9.17399905021347906318140,-11.57472317485139625306740,-3.39119482310861086139840,-7.57216063324457037217840,-8.31647176968686691369240,-7.92029830171889403472559,-11.00057683334409074445040,-10.90536192913818135239540,-6.39292478986317720772840,-11.43039722041146555192240,-10.75994871295339347964840,-9.01496965146298123672240,-9.10056887500549519118240,-13.01228607084073320407740,-4.49350991024247812252840,-8.15824044744054007047740,-6.38315899898663517298540,-6.91443949748032120504840,-10.66673013492279776741040,-3.72797535255405655165240,-10.15622423491184676708459,-8.11330858009007201413740,-7.45206267765889807446040,-7.59605856159577361285640,-9.56536841551160200972540,-6.34990180775705551301040,-9.59850895114943040577040,-4.53485583387462262017240,-1.13955175696121678710840,-6.26274636741394332096540,-10.06306666030458241500540,-7.70896010867358085177540,-8.75939669395190175715240,-6.76414853697159224806540,-1.38310550544312093547740,-10.04920560772360983713040,-5.45687711580106823720540,-8.58264170530590782785440,-13.36868746314498355248040,-1.97666462658899768746240,-7.12045208349290181610740,-9.78170012257460472587840,-10.50127277491677001785040,-4.46468770858318463496240,-10.59388298091128184221140,-7.08881153446250334604640,-9.62433867437753458697240,-9.14778780026125808984240,-3.30593708434332461932640
4,-9.09186382788668630332490,-10.36039306103462369341490,-7.71684870405749163411369,-6.75584442992864561243690,-3.05385074062712054785090,-9.20784396341587800411490,-8.00803830885036881878190,-9.40739410940850396668969,-7.30765407270811334683990,-8.44771227318269649898790,-10.41789901863762562472390,-10.46215583044724885280990,-3.25897325985409188139090,-8.08155232133310277848290,-9.55013342377920651193490,-7.83324849360003644407369,-10.10493495254501064419290,-10.48655821778182099263790,-5.49447188566546023839090,-10.52414712647815097016490,-16.24504039078575208469090,-5.61398167697469066056490,-10.10951956135613603642490,-12.37883077494905928831990,-5.63081041921426655017090,-7.32021818806036652471990,-5.95822229057058284172790,-8.26071150769205964159090,-11.49734824193808534265290,-3.83310906321562502005690,-11.49272004539812625573269,-7.10522632803436545674190,-8.38317623509624864270290,-8.25679109918864924639890,-8.78453859992825246596790,-9.42640498762409524125290,-9.22510958923735236201290,-3.41856326889850009141490,-1.23903357938248909243090,-6.59497734336271896510790,-12.98212119631499279814790,-9.33371935275466317101790,-9.29005380441817446539490,-4.63037255995732406570790,-0.84117825026898611707990,-11.71887609913042141257290,-5.98243729365649768944790,-7.81785804160119417949690,-11.98169198213110755832290,-2.67596459935868612739490,-6.44350592637813257084990,-10.18192312723180603612090,-11.88155076791530757379290,-3.81565363932800102880490,-9.81532842899663495045390,-5.56418320441825140652890,-9.93876214172036639221490,-8.25889488967410909401490,-4.88552328470169385166890
5,-8.50290011337083055758000,-9.89069319787075658967000,-10.94226558810452568893709,-7.58433842574843758779200,-3.42363894745939442528400,-8.93015574965334221737000,-7.88544856999212169003700,-7.90121529593688946451309,-8.92929708291101601659500,-9.57771039013991481722300,-9.95279183549150158937900,-10.91228535409729815806500,-2.36148341212226423090600,-8.71553630343697829783600,-8.88215291164898040419000,-10.61547512980491037129709,-12.23962772991641664944800,-10.67322545779370974789300,-6.52559226540158084192600,-11.52186206405339076842000,-11.40675540393784874614600,-6.09921364142624295942000,-9.67249963060692163668000,-10.96605949387484902757500,-4.26671401401189490122600,-6.83855849475970258697500,-5.40740706398379214998300,-8.23022756524635395524600,-10.20731111870292478790800,-4.59296940204165282301000,-12.14781498645912790755609,-7.65322251484301074389500,-7.72291996382940078095800,-10.45700654406249659935400,-8.66473395755532447822300,-7.43768218768400493350800,-10.61435535850629912226800,-5.32819214266956287317000,-0.56979492302368033471600,-5.75568947138111641546300,-10.92082458203595272350300,-7.94677575694127639527300,-9.28521083805235858865000,-4.99295151142908358496300,-3.38986785834344852818800,-11.20484503833258283232800,-6.16490564798690371370300,-9.17209165397963940105200,-9.85082861733587368657800,-1.69163089826755104095000,-7.97608123041948305230500,-8.91434357518572839137600,-11.20047094119141910154800,-4.53108927291380189176000,-8.76889844056513598670900,-8.20846314867666528764400,-10.51681842299220755747000,-7.89030176225995401444000,-3.81288136633941343202400
6,-8.15834174033503785880300,-10.14492257251017641789300,-9.54402693150033701552809,-5.84378908580696273331500,-3.65636015662928676715700,-8.01874883501412086359300,-8.56300662598927519326000,-7.64157862237291868610409,-8.05714646990211625681800,-8.83315218475980176414600,-15.44109063107952877290200,-10.80820912041730988278800,-2.69934725675607745496900,-10.40720202418293030354900,-11.92982171182506959641300,-8.84137879541877335178809,-10.96268977286207037417100,-11.20136081588582230111600,-6.82674118749395212254900,-10.58914656669940477164300,-11.27555655256593617536900,-5.33858020897254514404300,-10.68531278787968536790300,-11.52180712346063293579800,-4.59704147221088019144900,-6.13216058413798322219800,-6.65833235049868355370600,-7.99671319420192745576900,-10.69628911140009137913100,-6.11653191062420281642300,-9.46902921354915847714709,-8.23369340855267685940800,-8.26528932572722774018100,-8.97170540813350417057700,-9.43953126121640457044600,-7.74722263704919260173100,-10.19364423490378175249100,-6.79397242084815543509300,-0.77293454265268109971900,-6.40164294594832346818600,-10.95528255413277044272600,-9.38368419104847693449600,-12.20653140948947202587300,-4.75022675773777769348600,-1.66985421008492596995800,-11.40005688666760942085100,-6.94002334568251369792600,-9.98818795343913960457500,-10.81980832647900641180100,-1.64276733674709624523300,-6.70707782183899321082800,-8.98813488946189227959900,-10.94645610806667674877100,-4.19137113545015117378300,-10.69807990388814790693200,-5.97866203808873291836700,-10.87635359385878036969300,-7.55276468813712595436300,-5.79155880788740474904700
7,-7.78229607231517618373060,-12.48909544236192502382060,-7.71372380694790689923199,-5.84896333083108955474260,-4.77400726141641690351460,-8.93368585074337313252060,-7.99918941776259729718760,-8.54410654486205597980799,-9.25290111082902598874560,-10.10805237880429804307360,-10.10986696273441790782960,-11.22095569830350568921560,-5.20747447831058791314660,-8.92767932980053138709660,-10.96509346432547082134060,-8.78764344279986596249199,-14.75980335057398438059860,-11.14030657040907110204360,-6.04168243790835534347660,-10.76841016710894973457060,-11.56752230969975433929660,-7.84011335622464825277060,-10.60702198586072974583060,-11.02842210331167127672560,-5.54411942684539707067660,-7.52434618397513818062560,-5.68172803351517589663360,-8.66208322700552456069660,-15.91962665458739345005860,-5.28939061605618929497060,-8.87019240777318074175099,-8.14343011499965537695560,-8.09086637567480388850860,-8.72610680827758112750460,-10.54787996942389926037360,-8.24390239613509829265860,-10.74636791910490467821860,-6.08526032048573721102060,-1.56142468538624936536660,-7.68905954986043403161360,-13.22980769142788891765360,-8.39189038360050363542360,-10.78768049911846668180060,-5.31303783398253537591360,-0.43135076614711213263560,-10.89609578055908178477860,-6.68822599581397562585360,-10.13635225003367037150260,-9.72560990184053386372860,-2.58540441213321935919060,-7.91761024920521862475560,-10.70934506160452408052660,-11.84070666648091612919860,-5.20132004459579848941060,-9.75409031506250777185960,-6.77499478333608842299460,-10.45045767684208525662060,-8.11176956759662551179060,-4.38287564993591692097460
8,-9.69262065179209942666000,-11.41667133184756391415000,-7.68072068752790614730889,-7.27703987935797359526200,-3.40477471061161093262600,-8.99635257234505261785000,-7.75349784520352882037700,-9.95730612226569785688489,-13.87262049636762659897500,-9.67551762238792198244300,-12.66472386572536089555900,-12.63870956833315951557500,-3.34028118351576549133600,-8.79357183088979130883800,-9.97016077957424504187000,-8.35968966672893919256889,-11.70508968587062600695800,-11.82605751042401583031300,-7.69877762464373523986600,-11.34340668023284319941000,-11.70864068857899230942600,-5.54886356938394212996000,-12.07095278269394190236000,-11.24535654011377912843500,-5.63863537560877176690600,-7.93135773734870116920500,-7.08162283380282874486300,-10.14913263067300639742600,-12.02837839110070193148800,-6.77949129059264911191200,-9.69710984591657619992789,-9.13541345453538506879700,-8.99250880601721233439800,-10.12241501778875451973400,-11.73604950822825943108300,-8.19904359267907258478800,-11.83562021098731728794800,-5.47699362679985834125000,-0.95510913682790250637600,-6.30869476028624901129300,-11.56821063165439673028300,-9.89992584777367250205300,-12.14293874927870105743000,-7.08969019834246427364300,-0.86860726404648786547200,-12.11385995919144495250800,-8.17686078987955058908300,-9.73963377547784180163200,-11.12021263082721468515800,-2.31987627539995052744000,-10.37162230471167623258500,-11.29394480065035271285600,-11.42048699870111819178800,-6.60522730033441103519000,-9.61916569973423204368900,-8.04159311062750440462400,-10.94242117974280396475000,-8.89203213786567353949000,-5.07310177980106958380400
9,-10.14666201836764298373900,-10.61262588476785248152900,-7.95937438161935271930139,-7.47550501979259651975100,-2.32286501298351879908600,-7.98140358370404447452900,-7.59095831081693057169600,-8.24769770037263653647739,-8.29798258187315674025400,-9.08569706156454645263200,-10.38115462423684451833800,-10.43370418055389919832400,-2.28880659629396373277500,-8.61717739948464928921800,-9.40234298239767868984900,-9.62863880448123171016139,-10.59049981927564898970700,-10.53609803480936102355200,-6.75422033902185856183500,-11.09730350360467405967900,-10.46526590186995497720500,-5.74540863113414877097900,-10.22024195814576160033900,-11.75354974245165851823400,-4.21950307644388914368500,-8.63110682699373030563400,-6.01085151581272362504200,-8.31084558809073739220500,-12.31921267236777860356700,-3.68874495888529803607200,-10.09065203258618328192039,-7.61573264762702134836700,-8.01915374325527553561700,-9.02367682225430586661300,-9.62160663940949804688200,-7.43921880346716327116700,-10.08362848145681156792700,-4.93133439971460664422900,-1.97270760433574421828500,-5.40253325603714734132200,-10.71204304932891188676200,-8.19446944776923917793200,-9.26423347327522711730900,-5.25692912525628391882200,-0.95544834384953560985000,-10.33892225138432359108700,-5.17624625835855929836200,-7.76948481984029279401100,-10.75163292076414601252700,-1.84987188933119322081900,-8.11541611873614950186400,-8.48796469544829716003500,-10.40110691097102678990700,-3.68438016480541963691900,-9.17720039495972631736800,-6.37337809849431287746300,-10.16253432359611507412900,-8.00223782085776811584900,-4.08951954310782933068300
