,ManNAc(b1-3),Gal(b1-3/4),Fuc(b1-6),GlcNAc,Fuc(a1-3),Man(b1-3/4),GlcNAc(b1-6),Neu5Gc(a2-3),Gal3S(b1-4),ManNAc(b1-2),Fuc(a1-2),GalNAc3/4S(b1-4),GlcNAc(b1-3/4),GlcA(b1-3),Gal(a1-3),D-Alt(a1-3),ManNAc6S(b1-2),L-6dTal(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),Neu5Ac(a2-6),GlcNAc(a1-2),Glc(a1-3),GalNAc(b1-4),GlcNAc(b1-4),GalNAc(b1-2),GlcNAc6S(b1-2),GalNAc3S(b1-4),Fuc(a1-6),Man(a1-6),Neu5Ac9Ac(a2-6),Neu5Ac(a2-3/6),D-Fuc(b1-6),Man(a1-2),Gul(b1-4),Man(a1-3/6),Neu5Ac(a2-3),Neu5Gc(a2-6),Gal(b1-3),Xyl(b1-2),AllNAc(b1-6),Glc(a1-2),Kdn(a2-3),Gal(b1-4),Kdn(a2-6),Man(b1-4),Man(a1-3),GlcNAc(b1-2),GlcNAc(b1-3),L-6dGul(a1-6),Xylf(b1-2),
0,-49.82951517,-55.66990123,-74.06640685,-105.2300269,-31.79919168,-84.09287002,-67.96398512,-28.67901009,-34.8894133,-39.92006744,-30.70636348,-32.7223091,-80.06629892,-30.86515351,-12.24517403,-4.843436525,-52.25797323,-36.90009306,-74.15898911,-58.9334511,-29.65108686,-42.19073469,-33.34109252,-34.24777944,-2.659717696,-64.19803631,-61.45137084,-33.63993783,-70.82942833,-8.856201099,-34.37419034,-31.80575372,-74.72986763,-3.235833215,-38.71881874,-3.270573652,-11.38414279,-30.23056339,-34.16247171,-63.54247907,-91.65484544,-36.04050984,-29.6022924,-32.15061847,-28.47773916,-65.61424367,-0.168795801,-31.29189645,-37.98853876,-74.11376274,-62.70119798,
1,-52.86681421,-47.87109424,-5.059163245,-954.602651,-4.014552731,-5.059163114,-64.96979306,-25.66022417,-12.19975406,-59.95712905,-27.2154877,-34.21257857,-40.10269369,-27.58276125,-25.80972968,-79.36330984,-94.26583715,-51.83297212,-5.059163407,-3.449725359,-26.6434941,-48.51614712,-26.4930698,-37.02855187,-34.52256674,-73.07014592,-61.29255876,-34.80211745,-1.297967229,-36.29381166,-30.23149064,-28.08130016,-3.960550851,-25.77032831,-5.544146989,-49.65826756,-24.07704535,-31.62740766,-26.92811836,-85.40570708,-90.125881,-27.65083432,-27.9842599,-14.50286779,-25.88496665,-0.464043264,-52.61976995,-47.15896399,-34.97808081,-5.059163208,-78.11269455,
2,-27.98286264,-61.20718551,-70.52683842,-379.4766093,-30.76261827,-91.02696952,-1.573623937,-26.98689664,-36.57051983,-3.199182885,-30.69354114,-25.62472856,-83.67156506,-29.19371285,-4.966572605,-22.61380798,-4.789465861,-4.790363579,-69.5507997,-64.3592306,-28.11072991,-6.481359451,-29.57271646,-37.57046608,-8.468886879,-4.826803537,-33.93293201,-43.2086451,-61.90608523,-13.02256615,-33.77460376,-30.95241065,-69.39553109,-4.712065683,-41.49850005,-7.80456034,-18.20505914,-28.79478274,-24.65607122,-113.9046827,-4.097610376,-23.86498792,-30.57277522,-17.95276724,-25.60909681,-79.91072467,-4.5843978,-0.382663587,-8.098484036,-69.66084659,-92.06482165,
3,-36.10979447,-47.70185445,-100.5186751,-743.4296627,-39.85687707,-52.08796563,-39.19742564,-15.70173989,-36.23095882,-34.14048928,-18.18336274,-23.67464034,-119.9166575,-16.81127784,-14.25402226,-24.22443219,-59.58792426,-36.71103424,-99.58878361,-56.84947079,-16.15577127,-23.26397322,-18.62648274,-26.96271945,-11.43011098,-35.66492893,-37.96234876,-31.10565992,-94.09348336,-0.090810725,-18.28752408,-16.65601243,-99.01123179,-8.770060815,-38.31420006,-3.03931266,-16.00161743,-16.97386596,-18.84612058,-4.159049261,-57.6665008,-18.94607552,-17.20601398,-4.905437959,-15.27780293,-45.32519388,-9.003134537,-22.20497923,-18.70450064,-101.4828422,-4.159049261,
4,-36.54915592,-4.331766315,-99.41921493,-737.066192,-3.74260489,-27.33012948,-41.55136921,-23.77686948,-4.020210947,-49.69215997,-24.86487438,-7.731016337,-95.21694391,-24.54560886,-18.13404727,-65.11200176,-65.19628405,-12.1379651,-98.85475102,-8.480487069,-24.67324327,-48.27660896,-7.545855294,-3.773102317,-35.73913303,-49.94988139,-56.56490049,-9.762241684,-91.58079545,-27.60522907,-30.4047428,-25.98971459,-99.93674228,-8.688246142,-7.179847191,-40.15855622,-16.04256833,-25.88951328,-3.603268134,-69.72428394,-49.90432758,-13.75975394,-25.68118263,-0.113359368,-23.23331281,-25.82111835,-23.57631649,-30.07323521,-27.01913724,-99.1006482,-65.1763566,
5,-80.53690522,-79.91188568,-20.48629872,-94.66508785,-4.493459216,-83.85110523,-48.11670458,-68.62650701,-33.83252985,-20.11633212,-71.42383083,-56.90300889,-4.639902497,-72.23149157,-19.04864624,-29.34734386,-28.88637164,-26.28836154,-19.68225108,-18.69801369,-71.87491721,-22.57436142,-31.05078026,-53.88825944,-0.021062887,-52.72052729,-25.96409186,-56.68165973,-13.25189455,-23.32958263,-77.20680711,-72.84430426,-21.01462253,-17.29139854,-29.62626006,-38.958224,-36.32988176,-71.6403759,-43.38985129,-80.17224088,-57.14195703,-65.03702729,-75.74344165,-25.93759954,-68.8589631,-72.57577483,-20.02026704,-15.13446964,-52.36684534,-20.81941283,-78.60159473,
6,-4.723990152,-25.88252648,-122.8149745,-379.9883478,-25.17487247,-52.90286135,-27.66812668,-2.42159421,-21.08863687,-29.56575121,-3.114707133,-8.274549486,-119.6114721,-3.337773568,-2.4067989,-38.184043,-41.47784903,-15.44912767,-122.4560119,-34.01993718,-1.951418817,-21.54399807,-7.505641244,-4.725269289,-23.104364,-21.54861154,-37.43146558,-16.0945586,-107.8310155,-15.0050339,-4.723998255,-3.33771359,-122.0961327,-5.094509719,-22.32624601,-16.88183812,-1.228660511,-3.337949081,-4.858559418,-45.68864764,-36.6297589,-3.843803301,-3.337717655,-4.204726566,-3.338900561,-50.1697808,-15.790858,-18.36938353,-2.44450818,-122.4914613,-44.81019768,
7,-22.8623153,-53.06226214,-48.958521,-421.0447896,-22.98674591,-84.50013691,-7.304879519,-26.76451577,-35.69547864,-3.594880769,-24.63083765,-29.84993081,-62.62009988,-23.59258797,-13.12844264,-31.60326569,-18.65544699,-16.35880309,-48.68546382,-43.97520708,-23.8597705,-3.689368897,-4.721307917,-36.97127533,-1.148977268,-8.03096691,-4.724625837,-33.76205857,-42.73063039,-7.330998934,-27.67674892,-24.58059807,-48.52013262,-2.150670798,-37.70496659,-10.74411422,-19.40248586,-23.02668429,-25.19725721,-92.02013913,-10.68323522,-19.86517592,-24.03293953,-25.10381594,-21.96239844,-58.16024215,-4.27828686,-0.735767062,-6.376697131,-49.61402581,-85.12815265,
8,-133.0015379,-109.5689212,-58.48021999,-2.06E-12,-42.74443414,-116.7630656,-119.9395283,-94.26551161,-62.83718036,-67.8871013,-96.73112803,-79.22926294,-42.12183786,-97.9335358,-36.25549299,-56.05031442,-84.23588332,-69.801174,-57.53872696,-57.14122252,-95.63085707,-67.15474967,-83.38093395,-85.49265571,-26.91330737,-132.341257,-94.36047176,-80.22090597,-53.79080418,-44.05957699,-100.0723668,-95.20510355,-57.81309886,-43.52028503,-58.98630504,-42.45571984,-48.61869846,-96.28872561,-73.33255321,-120.4393275,-142.3557423,-88.73345653,-97.80202404,-58.62240719,-93.68898186,-101.0378479,-33.4931492,-50.50836579,-106.5151234,-57.93126911,-115.7962073,
9,-18.14076876,-7.993231628,-68.26936639,-593.0726956,-2.600362448,-32.14282992,-35.25906272,-10.56963731,-5.491727889,-28.22292393,-11.45325919,-3.649426271,-61.3700279,-12.37748941,-8.543846596,-46.06505719,-53.14711002,-13.96594685,-68.1974237,-4.325751909,-12.4691981,-28.24459468,-2.944615082,-4.895793152,-23.08956586,-31.61551809,-25.18379346,-4.30277981,-59.86326603,-19.91049282,-16.07839441,-13.8952661,-67.43286925,-1.723336837,-5.604091746,-28.6905165,-7.580030368,-11.19038833,-2.49679202,-43.11026737,-43.14015782,-4.82426847,-13.64289946,-0.625365174,-9.63521947,-29.6531879,-19.10243363,-24.41497926,-12.87864309,-68.29012593,-42.6744275,
